name,area,date,price
Ca phe voi nhan xo,An Giang,1/30/2007,21800
Ca phe voi nhan xo,An Giang,9/10/2010,28700
Ca phe voi nhan xo,An Giang,4/7/2011,47500
Ca phe voi nhan xo,An Giang,8/9/2011,46100
Ca phe voi nhan xo,An Giang,11/13/2012,39000
Ca phe voi nhan xo,An Giang,9/6/2016,39900
Ca phe voi nhan xo,An Giang,10/1/2016,41900
Ca phe voi nhan xo,An Giang,11/8/2016,45300
Ca phe voi nhan xo,An Giang,3/30/2018,35000
Ca phe voi nhan xo,An Giang,9/11/2018,32500
Ca phe voi nhan xo,An Giang,5/4/2020,28000
Ca phe voi nhan xo,An Giang,5/16/2020,30900
Ca phe voi nhan xo,An Giang,8/14/2020,28000
Ca phe voi nhan xo,An Giang,10/13/2020,30800
Ca phe voi nhan xo,An Giang,3/27/2021,32700
Ca phe voi nhan xo,An Giang,9/17/2021,2161
Ca phe voi nhan xo,An Giang,9/30/2021,39900
Ca phe voi nhan xo,An Giang,11/25/2021,41100
Ca phe voi nhan xo,An Giang,12/10/2021,35000
Ca phe voi nhan xo,An Giang,1/25/2022,39550
Ca phe voi nhan xo,An Giang,6/10/2022,41700
Ca phe voi nhan xo,An Giang,3/17/2023,47100
Ca phe voi nhan xo,An Giang,10/26/2023,60400
Ca phe voi nhan xo,Ba Ria-Vung Tau,11/6/2023,57100
Ca phe voi nhan xo,Binh Duong,10/25/2013,34200
Ca phe voi nhan xo,Binh Phuoc,11/12/2012,40500
Ca phe voi nhan xo,Binh Phuoc,11/14/2012,40500
Ca phe voi nhan xo,Binh Phuoc,11/19/2012,38000
Ca phe voi nhan xo,Binh Phuoc,11/21/2012,38500
Ca phe voi nhan xo,Binh Phuoc,11/23/2012,38500
Ca phe voi nhan xo,Binh Phuoc,11/26/2012,37500
Ca phe voi nhan xo,Binh Phuoc,11/28/2012,37500
Ca phe voi nhan xo,Binh Phuoc,11/30/2012,37000
Ca phe voi nhan xo,Binh Phuoc,12/5/2012,38500
Ca phe voi nhan xo,Binh Phuoc,12/10/2012,37500
Ca phe voi nhan xo,Binh Phuoc,12/12/2012,37500
Ca phe voi nhan xo,Binh Phuoc,12/14/2012,38000
Ca phe voi nhan xo,Binh Phuoc,12/17/2012,38000
Ca phe voi nhan xo,Binh Phuoc,12/19/2012,38500
Ca phe voi nhan xo,Binh Phuoc,12/21/2012,38500
Ca phe voi nhan xo,Binh Phuoc,12/24/2012,38500
Ca phe voi nhan xo,Binh Phuoc,12/28/2012,38500
Ca phe voi nhan xo,Binh Phuoc,1/4/2013,38900
Ca phe voi nhan xo,Binh Phuoc,1/7/2013,38500
Ca phe voi nhan xo,Binh Phuoc,3/8/2013,42500
Ca phe voi nhan xo,Binh Phuoc,3/11/2013,43500
Ca phe voi nhan xo,Binh Phuoc,4/1/2013,43500
Ca phe voi nhan xo,Binh Phuoc,4/8/2013,43500
Ca phe voi nhan xo,Binh Phuoc,4/12/2013,43000
Ca phe voi nhan xo,Binh Phuoc,4/15/2013,43000
Ca phe voi nhan xo,Binh Phuoc,4/17/2013,43000
