date,price,RON 95-III
8/22/2018,33700,21.17
8/23/2018,33400,21.17
8/24/2018,33100,21.17
8/25/2018,33300,21.17
8/26/2018,33300,21.17
8/27/2018,33200,21.17
8/28/2018,33300,21.17
8/29/2018,33200,21.17
8/30/2018,33500,21.17
8/31/2018,33000,21.17
9/1/2018,32700,21.17
9/2/2018,32700,21.17
9/3/2018,32700,21.17
9/4/2018,32700,21.17
9/5/2018,32400,21.17
9/6/2018,32900,21.47
9/7/2018,32700,21.47
9/8/2018,32700,21.47
9/9/2018,32700,21.47
9/10/2018,32700,21.47
9/11/2018,32400,21.47
9/12/2018,32300,21.47
9/13/2018,33000,21.47
9/14/2018,32800,21.47
9/15/2018,32600,21.47
9/16/2018,32600,21.47
9/17/2018,32600,21.47
9/18/2018,32400,21.47
9/19/2018,32500,21.47
9/20/2018,32400,21.47
9/21/2018,32800,21.77
9/22/2018,32800,21.77
9/23/2018,32800,21.77
9/24/2018,32400,21.77
9/25/2018,32800,21.77
9/26/2018,32700,21.77
9/27/2018,32800,21.77
9/28/2018,32900,21.77
9/29/2018,33600,21.77
9/30/2018,33600,21.77
10/1/2018,33600,21.77
10/2/2018,33900,21.77
10/3/2018,34500,21.77
10/4/2018,34200,21.77
10/5/2018,34600,21.77
10/6/2018,35400,22.34
10/7/2018,35400,22.34
10/8/2018,35400,22.34
10/9/2018,35900,22.34
10/10/2018,36100,22.34
10/11/2018,35900,22.34
10/12/2018,36200,22.34
10/13/2018,36700,22.34
10/14/2018,36700,22.34
10/15/2018,36800,22.34
10/16/2018,37300,22.34
10/17/2018,37400,22.34
10/18/2018,37800,22.34
10/19/2018,37700,22.34
10/20/2018,37100,22.34
10/21/2018,37100,22.34
10/22/2018,37300,22.2
10/23/2018,36900,22.2
10/24/2018,36900,22.2
10/25/2018,36800,22.2
10/26/2018,36700,22.2
10/27/2018,37100,22.2
10/28/2018,37100,22.2
10/29/2018,37100,22.2
10/30/2018,36000,22.2
10/31/2018,35800,22.2
11/1/2018,35900,22.2
11/2/2018,36800,22.2
11/3/2018,37100,22.2
11/4/2018,37100,22.2
11/5/2018,37100,22.2
11/6/2018,36300,21.06
11/7/2018,35900,21.06
11/8/2018,36300,21.06
11/9/2018,36200,21.06
11/10/2018,36300,21.06
11/11/2018,36300,21.06
11/12/2018,36500,21.06
11/13/2018,35800,21.06
11/14/2018,35700,21.06
