,Tên_mặt_hàng,Thị_trường,Ngày,Giá
0,Gạo thường|Rice,An Giang,2007-03-08,4800
1,Gạo thường|Rice,An Giang,2007-03-09,4900
2,Gạo thường|Rice,An Giang,2007-03-12,4900
3,Gạo thường|Rice,An Giang,2007-03-13,4900
4,Gạo thường|Rice,An Giang,2007-03-14,4900
5,Gạo thường|Rice,An Giang,2007-03-15,4900
6,Gạo thường|Rice,An Giang,2007-03-16,4900
7,Gạo thường|Rice,An Giang,2007-03-19,4900
8,Gạo thường|Rice,An Giang,2007-03-20,4850
9,Gạo thường|Rice,An Giang,2007-03-21,4850
10,Gạo thường|Rice,An Giang,2007-03-22,4850
11,Gạo thường|Rice,An Giang,2007-03-23,4850
12,Gạo thường|Rice,An Giang,2007-03-26,4850
13,Gạo thường|Rice,An Giang,2007-03-27,4850
14,Gạo thường|Rice,An Giang,2007-03-29,4850
15,Gạo thường|Rice,An Giang,2007-03-30,4850
16,Gạo thường|Rice,An Giang,2007-04-02,4850
17,Gạo thường|Rice,An Giang,2007-04-04,4850
18,Gạo thường|Rice,An Giang,2007-04-05,4850
19,Gạo thường|Rice,An Giang,2007-04-06,4850
20,Gạo thường|Rice,An Giang,2007-04-09,4850
21,Gạo thường|Rice,An Giang,2007-04-10,4850
22,Gạo thường|Rice,An Giang,2007-04-11,4850
23,Gạo thường|Rice,An Giang,2007-04-12,4850
24,Gạo thường|Rice,An Giang,2007-04-13,4850
25,Gạo thường|Rice,An Giang,2007-04-17,4850
26,Gạo thường|Rice,An Giang,2007-04-18,4850
27,Gạo thường|Rice,An Giang,2007-04-19,4850
28,Gạo thường|Rice,An Giang,2007-04-20,4850
29,Gạo thường|Rice,An Giang,2007-04-23,4850
30,Gạo thường|Rice,An Giang,2007-04-24,4850
31,Gạo thường|Rice,An Giang,2007-04-25,4850
32,Gạo thường|Rice,An Giang,2007-04-27,4850
33,Gạo thường|Rice,An Giang,2007-05-04,4850
34,Gạo thường|Rice,An Giang,2007-05-07,4850
35,Gạo thường|Rice,An Giang,2007-05-08,4850
36,Gạo thường|Rice,An Giang,2007-05-09,4850
37,Gạo thường|Rice,An Giang,2007-05-10,4850
38,Gạo thường|Rice,An Giang,2007-05-11,4850
39,Gạo thường|Rice,An Giang,2007-05-14,4850
40,Gạo thường|Rice,An Giang,2007-05-15,4850
41,Gạo thường|Rice,An Giang,2007-05-16,4850
42,Gạo thường|Rice,An Giang,2007-05-17,4850
43,Gạo thường|Rice,An Giang,2007-05-18,4850
44,Gạo thường|Rice,An Giang,2007-05-21,4850
45,Gạo thường|Rice,An Giang,2007-05-22,4850
46,Gạo thường|Rice,An Giang,2007-05-23,4850
47,Gạo thường|Rice,An Giang,2007-05-24,4850
