,price,tavg,tmin,tmax,prcp,wdir,wspd,pres,area,productivity,quantity,RON 95-III
2018-08-22,11000,29.22222222222222,26.0,33.0,0.268,235.0,11.7,1005.8,235.0,73.5,1727.4,21.17
2018-08-23,11000,28.277777777777786,25.0,34.0,0.268,221.0,9.8,1007.5,235.0,73.5,1727.4,21.17
2018-08-24,11000,28.72222222222222,26.0,32.0,0.268,235.0,7.6,1007.9,235.0,73.5,1727.4,21.17
2018-08-27,11000,28.38888888888889,26.0,32.0,0.268,244.0,10.4,1007.7,235.0,73.5,1727.4,21.17
2018-08-28,11000,28.38888888888889,25.0,33.0,0.268,258.0,8.8,1008.8,235.0,73.5,1727.4,21.17
2018-08-29,11000,28.61111111111111,26.0,34.0,0.268,252.0,9.7,1007.8,235.0,73.5,1727.4,21.17
2018-08-30,11000,29.38888888888889,26.0,33.0,0.268,244.0,11.4,1007.5,235.0,73.5,1727.4,21.17
2018-08-31,11000,29.61111111111111,27.0,33.0,0.268,249.0,8.5,1008.7,235.0,73.5,1727.4,21.17
2018-09-04,11000,27.27777777777777,24.0,32.0,0.268,239.0,5.8,1009.3,235.0,73.5,1727.4,21.17
2018-09-05,11000,28.38888888888889,24.0,33.0,0.268,264.0,9.6,1008.3,235.0,73.5,1727.4,21.17
2018-09-06,11000,28.77777777777778,24.0,33.0,0.268,274.0,6.5,1006.4,235.0,73.5,1727.4,21.47
2018-09-07,11000,27.22222222222222,24.0,32.0,0.268,269.0,5.2,1005.7,235.0,73.5,1727.4,21.47
2018-09-10,11000,28.77777777777778,25.0,33.0,0.268,251.0,5.3,1010.4,235.0,73.5,1727.4,21.47
2018-09-11,11000,28.61111111111111,25.0,32.0,0.268,254.0,5.4,1009.5,235.0,73.5,1727.4,21.47
2018-09-12,11000,26.22222222222222,24.0,31.0,0.268,256.0,6.9,1008.1,235.0,73.5,1727.4,21.47
2018-09-13,11000,27.0,23.000000000000004,32.0,0.268,240.0,6.1,1007.0,235.0,73.5,1727.4,21.47
2018-09-14,11000,27.11111111111111,25.0,31.0,0.268,252.0,7.0,1006.9,235.0,73.5,1727.4,21.47
2018-09-17,11000,26.0,25.0,29.0,0.268,235.0,10.2,1006.2,235.0,73.5,1727.4,21.47
2018-09-18,11000,26.22222222222222,25.0,32.0,0.268,246.0,7.9,1008.6,235.0,73.5,1727.4,21.47
2018-09-19,11000,27.88888888888889,25.0,34.0,0.268,314.0,4.8,1008.6,235.0,73.5,1727.4,21.47
2018-09-20,11000,27.11111111111111,25.0,32.0,0.268,355.0,3.7,1008.4,235.0,73.5,1727.4,21.47
2018-09-21,11000,28.22222222222222,25.0,33.0,0.268,109.0,4.2,1009.3,235.0,73.5,1727.4,21.77
2018-09-24,11000,25.88888888888889,24.0,31.0,0.268,21.0,3.5,1010.5,235.0,73.5,1727.4,21.77
2018-09-25,11000,28.38888888888889,24.0,33.0,0.268,289.0,5.5,1009.2,235.0,73.5,1727.4,21.77
2018-09-26,11000,28.88888888888889,24.0,34.0,0.268,267.0,5.1,1008.1,235.0,73.5,1727.4,21.77
2018-10-05,11000,27.11111111111111,25.0,32.0,0.268,69.0,4.5,1010.2,235.0,73.5,1727.4,21.77
2018-10-10,11000,29.61111111111111,25.500000000000004,34.0,0.268,110.0,5.4,1009.2,235.0,73.5,1727.4,22.34
2018-10-11,11000,28.38888888888889,24.0,33.0,0.268,48.0,5.0,1009.8,235.0,73.5,1727.4,22.34
2018-10-15,11000,28.72222222222222,25.0,33.0,0.268,113.0,5.1,1011.2,235.0,73.5,1727.4,22.34
2018-10-16,11000,29.27777777777778,27.0,33.0,0.268,150.0,6.0,1010.7,235.0,73.5,1727.4,22.34
