date,Luong (nghin tan),Kim ngach (trieu USD),Trieu USD/ Nghin tan
1/1/2009,151.13,232,1.53510223
2/1/2009,154.4,236.62,1.532512953
3/1/2009,137.02,199.81,1.458254269
4/1/2009,123.77,180.16,1.455603135
5/1/2009,93.09,134.1,1.440541412
6/1/2009,82.37,121.08,1.469952653
7/1/2009,53.88,77.01,1.429287305
8/1/2009,55.31,79.17,1.431386729
9/1/2009,50.52,73.74,1.459619952
10/1/2009,55.81,80.58,1.443827271
11/1/2009,81.03,114.13,1.408490682
12/1/2009,145.25,202.26,1.392495697
1/1/2010,145.4,204.35,1.405433287
2/1/2010,77.39,110.63,1.429512857
3/1/2010,125.25,171.59,1.36998004
4/1/2010,125.29,169.15,1.350067843
5/1/2010,101.24,143.12,1.413670486
6/1/2010,105.46,152.82,1.44908022
7/1/2010,99.47,153.1,1.539157535
8/1/2010,80.86,128.4,1.587929755
9/1/2010,58.93,94.5,1.603597489
10/1/2010,57.83,98.14,1.697043057
11/1/2010,76.87,134.02,1.743462989
12/1/2010,163.93,291.59,1.778747026
1/1/2011,215.02,413.12,1.921309646
2/1/2011,143.91,302.38,2.101174345
3/1/2011,215.31,487.75,2.265338349
4/1/2011,128.71,307.66,2.390334861
5/1/2011,97.93,237.93,2.429592566
6/1/2011,69.34,162.04,2.336890684
7/1/2011,58.02,134.8,2.32333678
8/1/2011,41.56,95.14,2.289220404
9/1/2011,28.18,63.78,2.26330731
10/1/2011,32.23,73.39,2.277071052
11/1/2011,70.6,149.42,2.116430595
12/1/2011,156.51,325.07,2.076991886
1/1/2012,117.85,241.13,2.04607552
2/1/2012,206.23,427.82,2.07447995
3/1/2012,209.64,440.13,2.099456211
4/1/2012,168.99,356.38,2.108882182
5/1/2012,205.36,434.8,2.117257499
6/1/2012,140.99,304.16,2.157316122
7/1/2012,116.55,256.27,2.198798799
8/1/2012,103.26,229.97,2.227096649
9/1/2012,70.68,159.74,2.260045274
10/1/2012,102.59,230.12,2.243103616
11/1/2012,127.52,261.96,2.054265997
12/1/2012,162.54,330.38,2.032607358
1/1/2013,223.8,460.22,2.056389634
2/1/2013,99.75,217.29,2.178345865
3/1/2013,157.21,350.49,2.229438331
4/1/2013,109.28,240.12,2.197291362
5/1/2013,116.24,251.54,2.163971094
6/1/2013,87.32,184.24,2.109940449
7/1/2013,89.27,191.21,2.14192898
8/1/2013,80.96,173.23,2.139698617
9/1/2013,61.98,132.31,2.134720878
10/1/2013,60.74,122.42,2.015475798
11/1/2013,79.16,141.41,1.786382011
12/1/2013,134.51,253.1,1.881644487
1/1/2014,140.2,264.21,1.884522111
2/1/2014,182.81,347.23,1.899403753
3/1/2014,274.17,559.51,2.040741146
4/1/2014,207.45,439.27,2.11747409
5/1/2014,150.25,325.03,2.163261231
6/1/2014,115.03,252.26,2.192993132
7/1/2014,127.65,274.49,2.150332942
8/1/2014,99.81,220.92,2.21340547
9/1/2014,98.37,216.05,2.196299685
10/1/2014,95.75,211.62,2.210130548
11/1/2014,83.8,191.44,2.284486874
12/1/2014,115.34,254.9,2.209987862
1/1/2015,146.16,307.4,2.103174603
2/1/2015,97.38,204.01,2.094988704
3/1/2015,136.55,276.62,2.025778103
4/1/2015,106.68,218.67,2.049775028
5/1/2015,108.34,221.09,2.040705187
6/1/2015,109.67,221.96,2.023889851
7/1/2015,111.45,224.89,2.017855541
8/1/2015,95.02,190.26,2.002315302
9/1/2015,87.12,167.82,1.92630854
10/1/2015,88.02,169.16,1.921835946
11/1/2015,103.07,193.28,1.875230426
12/1/2015,151.78,276.23,1.819936751
1/1/2016,176.65,306.15,1.733088027
2/1/2016,117.7,197.19,1.675361088
3/1/2016,179.95,303.01,1.683856627
4/1/2016,187.99,318.36,1.693494335
5/1/2016,161.01,286.12,1.777032482
6/1/2016,158.05,291.79,1.846187915
7/1/2016,139.32,263.51,1.891401091
8/1/2016,151.58,292.01,1.926441483
9/1/2016,128.84,255.49,1.983002173
10/1/2016,117.04,243.73,2.082450444
11/1/2016,114.58,248.33,2.167306685
12/1/2016,147.67,328.62,2.225367373
1/1/2017,184.92,410.46,2.219662557
2/1/2017,167.88,377.68,2.249702168
3/1/2017,186.01,420.98,2.263211655
4/1/2017,143.6,324.9,2.262534819
5/1/2017,127.69,287.08,2.248257499
6/1/2017,121.67,275.25,2.262266787
7/1/2017,104.14,242.71,2.330612637
8/1/2017,96.13,224.96,2.340164361
9/1/2017,79.95,186.42,2.331707317
10/1/2017,79.27,185.11,2.33518355
11/1/2017,104.73,225.11,2.149431872
12/1/2017,163.94,326.58,1.99207027
1/1/2018,216.39,419.7,1.939553584
2/1/2018,136.48,264.12,1.935228605
3/1/2018,210.53,405.22,1.924761317
4/1/2018,163.57,312.15,1.908357278
5/1/2018,155.33,304.6,1.960986287
6/1/2018,155.87,296.73,1.903701803
7/1/2018,134.62,253.13,1.880329817
8/1/2018,153.1,281.84,1.840888308
9/1/2018,120.65,212.05,1.757563199
10/1/2018,138.12,251.16,1.818418766
11/1/2018,139.31,260.14,1.867346206
12/1/2018,153.46,275.68,1.796429037
1/1/2019,183.7,324.25,1.765106151
2/1/2019,115.12,199.53,1.733234885
3/1/2019,172.08,298.53,1.734832636
4/1/2019,143.3,243.38,1.698394976
5/1/2019,145.19,238.14,1.640195606
6/1/2019,142.35,238.07,1.672427116
7/1/2019,140.45,241.02,1.716055536
8/1/2019,114.17,197.14,1.726723307
9/1/2019,92.35,168.68,1.826529507
10/1/2019,87.5,157.57,1.8008
