price,tavg,tmin,tmax,prcp,wdir,wspd,pres,RON 95-III
25000.0,84.6,78.8,91.4,0.268,235.0,11.7,1005.8,21.17
25000.0,82.9,77.0,93.2,0.268,221.0,9.8,1007.5,21.17
25000.0,83.7,78.8,89.6,0.268,235.0,7.6,1007.9,21.17
32000.0,83.1,78.8,89.6,0.268,244.0,10.4,1007.7,21.17
32000.0,83.1,77.0,91.4,0.268,258.0,8.8,1008.8,21.17
32000.0,83.5,78.8,93.2,0.268,252.0,9.7,1007.8,21.17
32000.0,84.9,78.8,91.4,0.268,244.0,11.4,1007.5,21.17
32000.0,85.3,80.6,91.4,0.268,249.0,8.5,1008.7,21.17
32000.0,81.1,75.2,89.6,0.268,239.0,5.8,1009.3,21.17
32000.0,83.1,75.2,91.4,0.268,264.0,9.6,1008.3,21.17
32000.0,83.8,75.2,91.4,0.268,274.0,6.5,1006.4,21.47
32000.0,81.0,75.2,89.6,0.268,269.0,5.2,1005.7,21.47
32000.0,83.8,77.0,91.4,0.268,251.0,5.3,1010.4,21.47
32000.0,83.5,77.0,89.6,0.268,254.0,5.4,1009.5,21.47
32000.0,79.2,75.2,87.8,0.268,256.0,6.9,1008.1,21.47
32000.0,80.6,73.4,89.6,0.268,240.0,6.1,1007.0,21.47
32000.0,80.8,77.0,87.8,0.268,252.0,7.0,1006.9,21.47
32000.0,78.8,77.0,84.2,0.268,235.0,10.2,1006.2,21.47
32000.0,79.2,77.0,89.6,0.268,246.0,7.9,1008.6,21.47
32000.0,82.2,77.0,93.2,0.268,314.0,4.8,1008.6,21.47
32000.0,80.8,77.0,89.6,0.268,355.0,3.7,1008.4,21.47
32000.0,82.8,77.0,91.4,0.268,109.0,4.2,1009.3,21.77
32000.0,78.6,75.2,87.8,0.268,21.0,3.5,1010.5,21.77
32000.0,83.1,75.2,91.4,0.268,289.0,5.5,1009.2,21.77
32000.0,84.0,75.2,93.2,0.268,267.0,5.1,1008.1,21.77
32000.0,80.8,77.0,89.6,0.268,69.0,4.5,1010.2,21.77
32000.0,85.3,77.9,93.2,0.268,110.0,5.4,1009.2,22.34
32000.0,83.7,77.0,91.4,0.268,113.0,5.1,1011.2,22.34
32000.0,84.7,80.6,91.4,0.268,150.0,6.0,1010.7,22.34
32000.0,81.7,78.8,91.4,0.268,210.0,4.3,1009.6,22.34
32000.0,81.7,75.2,93.2,0.268,296.0,3.7,1009.0,22.34
32000.0,79.5,75.2,84.2,0.268,51.0,3.7,1009.3,22.34
32000.0,81.9,75.2,93.2,0.268,353.0,4.2,1011.0,22.2
