price,RON 95-III,date
25000.0,21.17,2018-08-22
25000.0,21.17,2018-08-23
25000.0,21.17,2018-08-24
32000.0,21.17,2018-08-27
32000.0,21.17,2018-08-28
32000.0,21.17,2018-08-29
32000.0,21.17,2018-08-30
32000.0,21.17,2018-08-31
32000.0,21.17,2018-09-04
32000.0,21.17,2018-09-05
32000.0,21.47,2018-09-06
32000.0,21.47,2018-09-07
32000.0,21.47,2018-09-10
32000.0,21.47,2018-09-11
32000.0,21.47,2018-09-12
32000.0,21.47,2018-09-13
32000.0,21.47,2018-09-14
32000.0,21.47,2018-09-17
32000.0,21.47,2018-09-18
32000.0,21.47,2018-09-19
32000.0,21.47,2018-09-20
32000.0,21.77,2018-09-21
32000.0,21.77,2018-09-24
32000.0,21.77,2018-09-25
32000.0,21.77,2018-09-26
32000.0,21.77,2018-10-05
32000.0,22.34,2018-10-10
32000.0,22.34,2018-10-15
32000.0,22.34,2018-10-16
32000.0,22.34,2018-10-17
32000.0,22.34,2018-10-18
32000.0,22.34,2018-10-19
32000.0,22.2,2018-10-22
32000.0,22.2,2018-10-25
32000.0,22.2,2018-10-26
32000.0,22.2,2018-10-29
32000.0,22.2,2018-10-30
32000.0,22.2,2018-10-31
32000.0,22.2,2018-11-01
32000.0,22.2,2018-11-02
35000.0,21.06,2018-11-06
35000.0,21.06,2018-11-07
35000.0,21.06,2018-11-08
35000.0,21.06,2018-11-09
35000.0,21.06,2018-11-10
35000.0,21.06,2018-11-12
35000.0,21.06,2018-11-13
35000.0,21.06,2018-11-14
35000.0,21.06,2018-11-15
35000.0,21.06,2018-11-16
35000.0,21.06,2018-11-19
35000.0,21.06,2018-11-20
35000.0,19.97,2018-11-21
35000.0,19.97,2018-11-22
35000.0,19.97,2018-11-23
35000.0,19.97,2018-11-26
35000.0,19.97,2018-11-27
25000.0,18.14,2018-12-24
25000.0,18.14,2018-12-25
40000.0,18.14,2018-12-26
40000.0,18.14,2018-12-28
40000.0,17.6,2019-01-03
40000.0,17.6,2019-01-04
40000.0,17.6,2019-01-07
40000.0,17.6,2019-01-08
40000.0,17.6,2019-01-09
40000.0,17.6,2019-01-16
40000.0,17.6,2019-01-17
40000.0,17.6,2019-01-18
42000.0,17.6,2019-01-25
46000.0,17.6,2019-02-12
46000.0,17.6,2019-02-13
46000.0,17.6,2019-02-14
46000.0,17.6,2019-02-15
46000.0,17.6,2019-02-18
46000.0,17.6,2019-02-19
46000.0,17.6,2019-02-20
46000.0,17.6,2019-02-22
46000.0,17.6,2019-02-25
46000.0,17.6,2019-02-26
46000.0,17.6,2019-02-28
46000.0,17.6,2019-03-01
46000.0,18.54,2019-03-04
46000.0,18.54,2019-03-05
46000.0,18.54,2019-03-06
46000.0,18.54,2019-03-07
46000.0,18.54,2019-03-08
46000.0,18.54,2019-03-11
46000.0,18.54,2019-03-12
46000.0,18.54,2019-03-13
46000.0,18.54,2019-03-14
46000.0,18.54,2019-03-15
46000.0,18.54,2019-03-18
46000.0,18.54,2019-04-01
46000.0,20.03,2019-04-02
46000.0,20.03,2019-04-03
46000.0,20.03,2019-04-05
46000.0,20.03,2019-04-08
46000.0,20.03,2019-04-09
46000.0,20.03,2019-04-10
46000.0,20.03,2019-04-11
46000.0,20.03,2019-04-12
46000.0,20.03,2019-04-16
46000.0,21.23,2019-04-17
40000.0,21.23,2019-04-18
40000.0,21.23,2019-04-19
25000.0,21.23,2019-04-22
25000.0,21.23,2019-04-24
25000.0,21.23,2019-04-25
25000.0,21.23,2019-04-26
23000.0,22.19,2019-05-02
23000.0,22.19,2019-05-03
23000.0,22.19,2019-05-04
20000.0,22.19,2019-05-09
20000.0,22.19,2019-05-10
20000.0,22.19,2019-05-13
20000.0,22.19,2019-05-14
20000.0,22.19,2019-05-15
20000.0,21.59,2019-05-17
20000.0,21.59,2019-05-20
25000.0,21.59,2019-05-21
25000.0,21.59,2019-05-22
25000.0,21.59,2019-05-31
25000.0,21.21,2019-06-03
25000.0,21.21,2019-06-04
25000.0,21.21,2019-06-06
25000.0,21.21,2019-06-07
25000.0,21.21,2019-06-10
25000.0,21.21,2019-06-12
25000.0,21.21,2019-06-14
25000.0,20.13,2019-06-17
25000.0,20.13,2019-06-18
25000.0,20.13,2019-06-19
25000.0,20.13,2019-06-20
25000.0,20.13,2019-06-21
25000.0,20.13,2019-06-24
25000.0,20.13,2019-06-25
25000.0,20.13,2019-06-26
25000.0,20.13,2019-06-27
25000.0,20.51,2019-07-02
25000.0,20.51,2019-07-03
25000.0,20.51,2019-07-04
25000.0,20.51,2019-07-05
25000.0,20.51,2019-07-08
25000.0,20.51,2019-07-10
25000.0,20.51,2019-07-11
25000.0,20.51,2019-07-12
25000.0,20.51,2019-07-15
25000.0,21.23,2019-07-17
25000.0,21.23,2019-07-18
25000.0,21.23,2019-07-19
25000.0,21.23,2019-07-22
25000.0,21.23,2019-07-23
25000.0,21.23,2019-07-24
25000.0,21.23,2019-07-25
25000.0,21.23,2019-07-26
25000.0,21.23,2019-07-29
25000.0,21.23,2019-07-30
25000.0,21.23,2019-07-31
25000.0,20.91,2019-08-01
