date,price
3/8/2007,7750
3/9/2007,7750
3/12/2007,7750
3/13/2007,7750
3/14/2007,7750
3/15/2007,7750
3/16/2007,7750
3/19/2007,7750
3/20/2007,7750
3/21/2007,7750
3/22/2007,7750
3/23/2007,7750
3/26/2007,7750
3/27/2007,7750
3/29/2007,7750
3/30/2007,7750
4/2/2007,7750
4/4/2007,7750
4/5/2007,7750
4/6/2007,7750
4/9/2007,7750
4/10/2007,7750
4/11/2007,7750
4/12/2007,7750
4/13/2007,7750
4/17/2007,7750
4/18/2007,7750
4/19/2007,7750
4/20/2007,7750
4/23/2007,7750
4/24/2007,7750
4/25/2007,7750
4/27/2007,7750
5/4/2007,7750
5/7/2007,7750
5/8/2007,7750
5/9/2007,7750
5/10/2007,7750
5/11/2007,7750
5/14/2007,7750
5/15/2007,7750
5/16/2007,7750
5/17/2007,7750
5/18/2007,7750
5/21/2007,7750
5/22/2007,7750
5/23/2007,7750
5/24/2007,7750
5/25/2007,7750
5/28/2007,7750
5/29/2007,7750
5/30/2007,7750
5/31/2007,7750
6/1/2007,7750
6/4/2007,7750
6/5/2007,7750
6/6/2007,7750
6/7/2007,7750
6/8/2007,7750
6/11/2007,7750
6/12/2007,7750
6/13/2007,7750
6/14/2007,7750
6/15/2007,7750
6/18/2007,7750
6/19/2007,7750
6/20/2007,7750
6/21/2007,7750
6/22/2007,7750
6/25/2007,7750
6/26/2007,7750
6/27/2007,7750
6/28/2007,7750
6/29/2007,7750
7/2/2007,7750
7/3/2007,7750
7/4/2007,7750
7/5/2007,7750
7/6/2007,7750
7/10/2007,7750
7/11/2007,7750
7/12/2007,7750
7/13/2007,7750
7/16/2007,7750
7/17/2007,7750
7/18/2007,7750
7/19/2007,7750
7/20/2007,7750
7/23/2007,7750
7/24/2007,7750
7/25/2007,7750
7/26/2007,7750
7/27/2007,7750
7/30/2007,7750
7/31/2007,7750
8/1/2007,7750
8/2/2007,7750
8/3/2007,7750
8/7/2007,7750
8/8/2007,7750
8/10/2007,7750
8/13/2007,7750
8/14/2007,7750
8/15/2007,7750
8/16/2007,7750
8/17/2007,7750
8/20/2007,7750
8/21/2007,7750
8/22/2007,7750
8/23/2007,7750
8/24/2007,7750
8/28/2007,7750
8/29/2007,7750
8/30/2007,7750
8/31/2007,7750
9/4/2007,7750
9/5/2007,7750
9/6/2007,7750
9/7/2007,7750
9/10/2007,7750
9/11/2007,7750
9/12/2007,7750
9/13/2007,7750
9/14/2007,7750
9/17/2007,7750
9/18/2007,7750
9/19/2007,7750
9/20/2007,7750
9/21/2007,7750
9/24/2007,7750
9/25/2007,7750
9/26/2007,7750
9/27/2007,7750
9/28/2007,7750
10/1/2007,7750
10/2/2007,7750
10/3/2007,7750
10/4/2007,7750
10/5/2007,7750
10/8/2007,7750
10/9/2007,7750
10/10/2007,7750
10/12/2007,7750
10/15/2007,7750
10/16/2007,7750
10/17/2007,7750
10/18/2007,7750
10/19/2007,7750
10/22/2007,7750
10/23/2007,7750
10/25/2007,7750
10/26/2007,7750
10/29/2007,7750
10/31/2007,7750
11/1/2007,7750
11/2/2007,7750
11/5/2007,7750
11/6/2007,7750
11/7/2007,7750
11/8/2007,7750
11/9/2007,7750
11/12/2007,7750
11/14/2007,7750
11/15/2007,7750
11/16/2007,7750
11/19/2007,7750
11/20/2007,7750
11/21/2007,7750
11/23/2007,7750
11/26/2007,7750
11/27/2007,7750
11/28/2007,7750
11/29/2007,7750
11/30/2007,7750
12/3/2007,7750
12/4/2007,7750
12/5/2007,7750
12/6/2007,7750
12/7/2007,7750
12/10/2007,7750
12/11/2007,7750
12/12/2007,7750
12/13/2007,7750
12/14/2007,7750
12/17/2007,7750
12/18/2007,7750
12/20/2007,7750
12/24/2007,7750
12/25/2007,7750
12/26/2007,7750
12/27/2007,7750
12/28/2007,7750
1/2/2008,7750
1/3/2008,7750
1/4/2008,7750
1/7/2008,7750
1/8/2008,7750
1/9/2008,7750
1/10/2008,7750
1/11/2008,7750
1/14/2008,7750
1/15/2008,7750
1/16/2008,7750
1/17/2008,7750
1/18/2008,7750
1/21/2008,7750
1/22/2008,7750
1/23/2008,7750
1/25/2008,7750
1/28/2008,7750
1/29/2008,7750
1/30/2008,7750
1/31/2008,7750
2/13/2008,7750
2/14/2008,7750
2/18/2008,7750
2/19/2008,7750
2/20/2008,7750
2/21/2008,7750
2/22/2008,7750
2/26/2008,7750
2/27/2008,7750
2/28/2008,7750
2/29/2008,7750
3/3/2008,7750
3/4/2008,7750
3/5/2008,7750
3/6/2008,7750
3/7/2008,7750
3/10/2008,7750
3/11/2008,7750
3/12/2008,7750
3/13/2008,7750
3/14/2008,7750
3/17/2008,7750
3/18/2008,7750
3/19/2008,7750
3/20/2008,7750
3/21/2008,7750
3/24/2008,7750
3/25/2008,7750
3/28/2008,7750
3/31/2008,7750
4/1/2008,7750
4/2/2008,7750
4/3/2008,7750
4/4/2008,7750
4/7/2008,7750
4/8/2008,7750
4/9/2008,7750
4/11/2008,7750
4/14/2008,7750
4/16/2008,7750
4/21/2008,7800
4/22/2008,7800
4/24/2008,7800
4/28/2008,11750
5/2/2008,11300
5/5/2008,9500
5/7/2008,9500
5/9/2008,9500
5/12/2008,9250
5/13/2008,9250
5/14/2008,9250
5/15/2008,9375
5/16/2008,9250
5/19/2008,9250
5/20/2008,9250
5/21/2008,9250
5/27/2008,9250
5/28/2008,9250
5/29/2008,8900
5/30/2008,9100
6/2/2008,9100
6/3/2008,9100
6/4/2008,9100
6/5/2008,9100
6/6/2008,9100
6/9/2008,9050
6/10/2008,9100
6/11/2008,9100
6/12/2008,9100
6/13/2008,9100
6/16/2008,9100
6/17/2008,9100
6/18/2008,9100
6/19/2008,9100
6/20/2008,9100
6/23/2008,9100
6/26/2008,9100
6/27/2008,9100
6/30/2008,9100
7/1/2008,9100
7/2/2008,9100
7/3/2008,9100
7/4/2008,9100
7/7/2008,9100
7/8/2008,9100
7/9/2008,9100
7/10/2008,9100
7/11/2008,9100
7/14/2008,9100
7/15/2008,9100
7/16/2008,9100
7/17/2008,9100
7/18/2008,9100
7/21/2008,9100
7/22/2008,9100
7/23/2008,9100
7/24/2008,9100
7/25/2008,9100
7/28/2008,9100
7/29/2008,9100
7/30/2008,9100
7/31/2008,9100
8/1/2008,9100
8/4/2008,9100
8/5/2008,9100
8/6/2008,9100
8/7/2008,9100
8/8/2008,9100
8/11/2008,9100
8/12/2008,9100
8/13/2008,9100
8/14/2008,9100
8/15/2008,9100
8/18/2008,9100
8/19/2008,9100
8/20/2008,9100
8/21/2008,9100
8/22/2008,9100
8/25/2008,8550
8/26/2008,9100
8/28/2008,9100
8/29/2008,9100
9/1/2008,9100
9/3/2008,9100
9/4/2008,9100
9/8/2008,9100
9/9/2008,9100
9/10/2008,9100
9/11/2008,9100
9/12/2008,9100
9/15/2008,9100
9/16/2008,9100
9/17/2008,9100
9/18/2008,9100
9/19/2008,9100
9/22/2008,9100
9/23/2008,9100
9/24/2008,9100
9/25/2008,9100
9/29/2008,9100
9/30/2008,9100
10/1/2008,9100
10/2/2008,9100
10/3/2008,9100
10/6/2008,9100
10/7/2008,9100
10/8/2008,9100
10/9/2008,9100
10/10/2008,9100
10/13/2008,9100
10/14/2008,9100
10/15/2008,9100
10/16/2008,9100
10/20/2008,9100
10/21/2008,9100
10/23/2008,9100
10/27/2008,9100
10/28/2008,9100
10/29/2008,9100
10/31/2008,9100
11/3/2008,9100
11/4/2008,9100
11/5/2008,9100
11/6/2008,9100
11/7/2008,9100
11/10/2008,9100
11/12/2008,9100
11/13/2008,9100
11/14/2008,9100
11/18/2008,9100
11/19/2008,9100
11/20/2008,9100
11/24/2008,9100
11/25/2008,9100
11/26/2008,9100
12/4/2008,9100
12/5/2008,9100
