date,price,area,productivity,quantity
2010-01-05,8250,234.2,73.0,1708.9
2010-01-07,8250,234.2,73.0,1708.9
2010-01-11,8250,234.2,73.0,1708.9
2010-01-12,8250,234.2,73.0,1708.9
2010-01-13,8250,234.2,73.0,1708.9
2010-01-14,8250,234.2,73.0,1708.9
2010-01-18,8500,234.2,73.0,1708.9
2010-01-19,8500,234.2,73.0,1708.9
2010-01-21,8250,234.2,73.0,1708.9
2010-01-22,8250,234.2,73.0,1708.9
2010-01-25,8250,234.2,73.0,1708.9
2010-01-26,8250,234.2,73.0,1708.9
2010-01-27,8250,234.2,73.0,1708.9
2010-01-28,8250,234.2,73.0,1708.9
2010-01-29,8800,234.2,73.0,1708.9
2010-02-10,8250,234.2,73.0,1708.9
2010-02-22,8750,234.2,73.0,1708.9
2010-02-23,8750,234.2,73.0,1708.9
2010-02-24,8750,234.2,73.0,1708.9
2010-02-25,8750,234.2,73.0,1708.9
2010-02-26,7250,234.2,73.0,1708.9
2010-02-27,6750,234.2,73.0,1708.9
2010-03-01,6750,234.2,73.0,1708.9
2010-03-02,6750,234.2,73.0,1708.9
2010-03-03,6750,234.2,73.0,1708.9
2010-03-04,6750,234.2,73.0,1708.9
2010-03-05,7000,234.2,73.0,1708.9
2010-03-08,7000,234.2,73.0,1708.9
2010-03-11,7000,234.2,73.0,1708.9
2010-03-12,7500,234.2,73.0,1708.9
2010-03-15,7500,234.2,73.0,1708.9
2010-03-16,7500,234.2,73.0,1708.9
2010-03-17,7500,234.2,73.0,1708.9
2010-03-18,7500,234.2,73.0,1708.9
2010-03-19,7500,234.2,73.0,1708.9
2010-03-22,7500,234.2,73.0,1708.9
2010-03-23,7500,234.2,73.0,1708.9
2010-04-01,6800,234.2,73.0,1708.9
2010-04-02,6750,234.2,73.0,1708.9
2010-04-05,6750,234.2,73.0,1708.9
2010-04-06,6750,234.2,73.0,1708.9
2010-04-07,6750,234.2,73.0,1708.9
2010-04-08,6750,234.2,73.0,1708.9
2010-04-09,6750,234.2,73.0,1708.9
2010-04-12,6750,234.2,73.0,1708.9
2010-04-13,6750,234.2,73.0,1708.9
2010-04-14,6750,234.2,73.0,1708.9
2010-04-15,6750,234.2,73.0,1708.9
2010-04-19,6750,234.2,73.0,1708.9
2010-04-21,6750,234.2,73.0,1708.9
2010-04-26,6750,234.2,73.0,1708.9
2010-04-28,6750,234.2,73.0,1708.9
2010-05-04,7000,234.2,73.0,1708.9
2010-05-05,7000,234.2,73.0,1708.9
2010-05-06,7000,234.2,73.0,1708.9
2010-05-07,7000,234.2,73.0,1708.9
2010-05-10,7000,234.2,73.0,1708.9
2010-05-12,7000,234.2,73.0,1708.9
2010-05-17,7000,234.2,73.0,1708.9
2010-05-18,7000,234.2,73.0,1708.9
2010-05-20,7000,234.2,73.0,1708.9
2010-05-21,7000,234.2,73.0,1708.9
2010-05-24,7000,234.2,73.0,1708.9
2010-05-25,7000,234.2,73.0,1708.9
2010-05-26,7000,234.2,73.0,1708.9
2010-05-27,7000,234.2,73.0,1708.9
2010-05-28,7000,234.2,73.0,1708.9
2010-05-31,7000,234.2,73.0,1708.9
2010-06-01,7000,234.2,73.0,1708.9
2010-06-02,7000,234.2,73.0,1708.9
2010-06-03,7000,234.2,73.0,1708.9
2010-06-07,7000,234.2,73.0,1708.9
2010-06-08,7000,234.2,73.0,1708.9
2010-06-10,7000,234.2,73.0,1708.9
2010-06-11,7000,234.2,73.0,1708.9
2010-06-14,7000,234.2,73.0,1708.9
2010-06-15,7000,234.2,73.0,1708.9
2010-06-18,7000,234.2,73.0,1708.9
2010-06-21,7000,234.2,73.0,1708.9
2010-06-22,7000,234.2,73.0,1708.9
2010-06-25,7000,234.2,73.0,1708.9
2010-06-29,7000,234.2,73.0,1708.9
2010-07-02,7000,234.2,73.0,1708.9
2010-07-05,7000,234.2,73.0,1708.9
2010-07-12,7000,234.2,73.0,1708.9
2010-07-13,7000,234.2,73.0,1708.9
2010-07-15,7000,234.2,73.0,1708.9
2010-07-16,7000,234.2,73.0,1708.9
2010-07-20,7000,234.2,73.0,1708.9
2010-07-21,7000,234.2,73.0,1708.9
2010-07-22,7000,234.2,73.0,1708.9
2010-07-23,7000,234.2,73.0,1708.9
2010-07-26,7000,234.2,73.0,1708.9
2010-07-27,7000,234.2,73.0,1708.9
2010-07-28,7000,234.2,73.0,1708.9
2010-07-29,7000,234.2,73.0,1708.9
2010-07-30,7000,234.2,73.0,1708.9
2010-08-02,7000,234.2,73.0,1708.9
2010-08-03,7000,234.2,73.0,1708.9
2010-08-04,7000,234.2,73.0,1708.9
2010-08-05,7000,234.2,73.0,1708.9
2010-08-06,7000,234.2,73.0,1708.9
2010-08-09,7000,234.2,73.0,1708.9
2010-08-10,7000,234.2,73.0,1708.9
2010-08-11,7000,234.2,73.0,1708.9
2010-08-12,7000,234.2,73.0,1708.9
2010-08-13,7000,234.2,73.0,1708.9
2010-08-16,7000,234.2,73.0,1708.9
2010-08-17,7000,234.2,73.0,1708.9
2010-08-18,7000,234.2,73.0,1708.9
2010-08-19,7000,234.2,73.0,1708.9
2010-08-20,7000,234.2,73.0,1708.9
2010-08-23,7000,234.2,73.0,1708.9
2010-08-24,7000,234.2,73.0,1708.9
2010-08-25,7000,234.2,73.0,1708.9
2010-08-26,7000,234.2,73.0,1708.9
2010-08-27,7000,234.2,73.0,1708.9
2010-08-30,7000,234.2,73.0,1708.9
2010-08-31,7000,234.2,73.0,1708.9
2010-09-01,7000,234.2,73.0,1708.9
2010-09-07,7000,234.2,73.0,1708.9
2010-09-08,7000,234.2,73.0,1708.9
2010-09-09,7000,234.2,73.0,1708.9
2010-09-10,7000,234.2,73.0,1708.9
2010-09-11,7000,234.2,73.0,1708.9
2010-09-13,7250,234.2,73.0,1708.9
2010-09-14,7250,234.2,73.0,1708.9
2010-09-15,7250,234.2,73.0,1708.9
2010-09-16,7250,234.2,73.0,1708.9
2010-09-17,7250,234.2,73.0,1708.9
2010-09-20,7250,234.2,73.0,1708.9
2010-09-21,7250,234.2,73.0,1708.9
2010-09-22,7250,234.2,73.0,1708.9
2010-09-23,7250,234.2,73.0,1708.9
2010-09-24,7250,234.2,73.0,1708.9
2010-09-27,7250,234.2,73.0,1708.9
2010-09-28,7250,234.2,73.0,1708.9
2010-09-29,7250,234.2,73.0,1708.9
2010-09-30,7250,234.2,73.0,1708.9
2010-10-01,7250,234.2,73.0,1708.9
2010-10-04,7250,234.2,73.0,1708.9
2010-10-05,7250,234.2,73.0,1708.9
2010-10-06,7250,234.2,73.0,1708.9
2010-10-07,7250,234.2,73.0,1708.9
2010-10-11,7250,234.2,73.0,1708.9
2010-10-13,7250,234.2,73.0,1708.9
2010-10-15,7250,234.2,73.0,1708.9
2010-10-18,7750,234.2,73.0,1708.9
2010-10-19,7750,234.2,73.0,1708.9
2010-10-20,7750,234.2,73.0,1708.9
2010-10-22,7750,234.2,73.0,1708.9
2010-10-27,7750,234.2,73.0,1708.9
2010-10-28,7750,234.2,73.0,1708.9
2010-10-29,7750,234.2,73.0,1708.9
2010-11-02,7750,234.2,73.0,1708.9
2010-11-03,7750,234.2,73.0,1708.9
2010-11-05,7750,234.2,73.0,1708.9
2010-11-08,7750,234.2,73.0,1708.9
2010-11-09,7750,234.2,73.0,1708.9
2010-11-10,7750,234.2,73.0,1708.9
2010-11-11,7750,234.2,73.0,1708.9
2010-11-12,7750,234.2,73.0,1708.9
