date,price,area,productivity,quantity,RON 95-III
8/22/2018,11000,235,73.5,1727.4,21.17
8/23/2018,11000,235,73.5,1727.4,21.17
8/24/2018,11000,235,73.5,1727.4,21.17
8/25/2018,11000,235,73.5,1727.4,21.17
8/26/2018,11000,235,73.5,1727.4,21.17
8/27/2018,11000,235,73.5,1727.4,21.17
8/28/2018,11000,235,73.5,1727.4,21.17
8/29/2018,11000,235,73.5,1727.4,21.17
8/30/2018,11000,235,73.5,1727.4,21.17
8/31/2018,11000,235,73.5,1727.4,21.17
9/1/2018,11000,235,73.5,1727.4,21.17
9/2/2018,11000,235,73.5,1727.4,21.17
9/3/2018,11000,235,73.5,1727.4,21.17
9/4/2018,11000,235,73.5,1727.4,21.17
9/5/2018,11000,235,73.5,1727.4,21.17
9/6/2018,11000,235,73.5,1727.4,21.47
9/7/2018,11000,235,73.5,1727.4,21.47
9/8/2018,11000,235,73.5,1727.4,21.47
9/9/2018,11000,235,73.5,1727.4,21.47
9/10/2018,11000,235,73.5,1727.4,21.47
9/11/2018,11000,235,73.5,1727.4,21.47
9/12/2018,11000,235,73.5,1727.4,21.47
9/13/2018,11000,235,73.5,1727.4,21.47
9/14/2018,11000,235,73.5,1727.4,21.47
9/15/2018,11000,235,73.5,1727.4,21.47
9/16/2018,11000,235,73.5,1727.4,21.47
9/17/2018,11000,235,73.5,1727.4,21.47
9/18/2018,11000,235,73.5,1727.4,21.47
9/19/2018,11000,235,73.5,1727.4,21.47
9/20/2018,11000,235,73.5,1727.4,21.47
9/21/2018,11000,235,73.5,1727.4,21.77
9/22/2018,11000,235,73.5,1727.4,21.77
9/23/2018,11000,235,73.5,1727.4,21.77
9/24/2018,11000,235,73.5,1727.4,21.77
9/25/2018,11000,235,73.5,1727.4,21.77
9/26/2018,11000,235,73.5,1727.4,21.77
9/27/2018,11000,235,73.5,1727.4,21.77
9/28/2018,11000,235,73.5,1727.4,21.77
9/29/2018,11000,235,73.5,1727.4,21.77
9/30/2018,11000,235,73.5,1727.4,21.77
10/1/2018,11000,235,73.5,1727.4,21.77
10/2/2018,11000,235,73.5,1727.4,21.77
10/3/2018,11000,235,73.5,1727.4,21.77
10/4/2018,11000,235,73.5,1727.4,21.77
10/5/2018,11000,235,73.5,1727.4,21.77
10/6/2018,11000,235,73.5,1727.4,22.34
10/7/2018,11000,235,73.5,1727.4,22.34
10/8/2018,11000,235,73.5,1727.4,22.34
10/9/2018,11000,235,73.5,1727.4,22.34
10/10/2018,11000,235,73.5,1727.4,22.34
10/11/2018,11000,235,73.5,1727.4,22.34
10/12/2018,11000,235,73.5,1727.4,22.34
10/13/2018,11000,235,73.5,1727.4,22.34
10/14/2018,11000,235,73.5,1727.4,22.34
10/15/2018,11000,235,73.5,1727.4,22.34
10/16/2018,11000,235,73.5,1727.4,22.34
10/17/2018,11000,235,73.5,1727.4,22.34
10/18/2018,11000,235,73.5,1727.4,22.34
10/19/2018,11000,235,73.5,1727.4,22.34
10/20/2018,11000,235,73.5,1727.4,22.34
10/21/2018,11000,235,73.5,1727.4,22.34
10/22/2018,11000,235,73.5,1727.4,22.2
10/23/2018,11000,235,73.5,1727.4,22.2
10/24/2018,11000,235,73.5,1727.4,22.2
10/25/2018,11000,235,73.5,1727.4,22.2
10/26/2018,11000,235,73.5,1727.4,22.2
10/27/2018,11000,235,73.5,1727.4,22.2
10/28/2018,11000,235,73.5,1727.4,22.2
10/29/2018,11000,235,73.5,1727.4,22.2
10/30/2018,11000,235,73.5,1727.4,22.2
10/31/2018,11000,235,73.5,1727.4,22.2
11/1/2018,11000,235,73.5,1727.4,22.2
11/2/2018,11000,235,73.5,1727.4,22.2
11/3/2018,11000,235,73.5,1727.4,22.2
11/4/2018,11000,235,73.5,1727.4,22.2
11/5/2018,11000,235,73.5,1727.4,22.2
11/6/2018,11000,235,73.5,1727.4,21.06
11/7/2018,11000,235,73.5,1727.4,21.06
11/8/2018,11000,235,73.5,1727.4,21.06
11/9/2018,11000,235,73.5,1727.4,21.06
11/10/2018,11000,235,73.5,1727.4,21.06
11/11/2018,11000,235,73.5,1727.4,21.06
11/12/2018,11000,235,73.5,1727.4,21.06
11/13/2018,11000,235,73.5,1727.4,21.06
11/14/2018,11000,235,73.5,1727.4,21.06
11/15/2018,11000,235,73.5,1727.4,21.06
11/16/2018,11000,235,73.5,1727.4,21.06
11/17/2018,11000,235,73.5,1727.4,21.06
11/18/2018,11000,235,73.5,1727.4,21.06
11/19/2018,11000,235,73.5,1727.4,21.06
11/20/2018,11000,235,73.5,1727.4,21.06
11/21/2018,11000,235,73.5,1727.4,19.97
11/22/2018,11000,235,73.5,1727.4,19.97
11/23/2018,11000,235,73.5,1727.4,19.97
11/24/2018,11000,235,73.5,1727.4,19.97
11/25/2018,11000,235,73.5,1727.4,19.97
11/26/2018,11000,235,73.5,1727.4,19.97
11/27/2018,11000,235,73.5,1727.4,19.97
11/28/2018,11000,235,73.5,1727.4,19.97
11/29/2018,11000,235,73.5,1727.4,19.97
11/30/2018,11000,235,73.5,1727.4,19.97
12/1/2018,11000,235,73.5,1727.4,19.97
12/2/2018,11000,235,73.5,1727.4,19.97
12/3/2018,11000,235,73.5,1727.4,19.97
12/4/2018,11000,235,73.5,1727.4,19.97
12/5/2018,11000,235,73.5,1727.4,19.97
12/6/2018,11000,235,73.5,1727.4,18.45
12/7/2018,11000,235,73.5,1727.4,18.45
12/8/2018,11000,235,73.5,1727.4,18.45
12/9/2018,11000,235,73.5,1727.4,18.45
12/10/2018,11000,235,73.5,1727.4,18.45
12/11/2018,11000,235,73.5,1727.4,18.45
12/12/2018,11000,235,73.5,1727.4,18.45
12/13/2018,11000,235,73.5,1727.4,18.45
12/14/2018,11000,235,73.5,1727.4,18.45
12/15/2018,11000,235,73.5,1727.4,18.45
12/16/2018,11000,235,73.5,1727.4,18.45
12/17/2018,11000,235,73.5,1727.4,18.45
12/18/2018,11000,235,73.5,1727.4,18.45
12/19/2018,11000,235,73.5,1727.4,18.45
12/20/2018,11000,235,73.5,1727.4,18.45
12/21/2018,11000,235,73.5,1727.4,18.14
12/22/2018,11000,235,73.5,1727.4,18.14
12/23/2018,11000,235,73.5,1727.4,18.14
12/24/2018,11000,235,73.5,1727.4,18.14
12/25/2018,11000,235,73.5,1727.4,18.14
12/26/2018,11000,235,73.5,1727.4,18.14
12/27/2018,11000,235,73.5,1727.4,18.14
12/28/2018,10500,235,73.5,1727.4,18.14
12/29/2018,10500,235,73.5,1727.4,18.14
12/30/2018,10500,235,73.5,1727.4,18.14
12/31/2018,10500,235,73.5,1727.4,18.14
1/1/2019,10500,235,73.5,1727.4,17.6
1/2/2019,10500,235,73.5,1727.4,17.6
1/3/2019,10500,233.7,71,1659.3,17.6
1/4/2019,10500,233.7,71,1659.3,17.6
1/5/2019,10500,233.7,71,1659.3,17.6
1/6/2019,10500,233.7,71,1659.3,17.6
1/7/2019,10500,233.7,71,1659.3,17.6
1/8/2019,10500,233.7,71,1659.3,17.6
1/9/2019,10500,233.7,71,1659.3,17.6
1/10/2019,10500,233.7,71,1659.3,17.6
1/11/2019,10500,233.7,71,1659.3,17.6
1/12/2019,10500,233.7,71,1659.3,17.6
1/13/2019,10500,233.7,71,1659.3,17.6
1/14/2019,10500,233.7,71,1659.3,17.6
1/15/2019,10500,233.7,71,1659.3,17.6
1/16/2019,10500,233.7,71,1659.3,17.6
1/17/2019,10500,233.7,71,1659.3,17.6
1/18/2019,10500,233.7,71,1659.3,17.6
1/19/2019,10500,233.7,71,1659.3,17.6
1/20/2019,10500,233.7,71,1659.3,17.6
1/21/2019,10500,233.7,71,1659.3,17.6
1/22/2019,10500,233.7,71,1659.3,17.6
1/23/2019,10500,233.7,71,1659.3,17.6
1/24/2019,10500,233.7,71,1659.3,17.6
1/25/2019,10500,233.7,71,1659.3,17.6
1/26/2019,10500,233.7,71,1659.3,17.6
1/27/2019,10500,233.7,71,1659.3,17.6
1/28/2019,10500,233.7,71,1659.3,17.6
1/29/2019,10500,233.7,71,1659.3,17.6
1/30/2019,10500,233.7,71,1659.3,17.6
1/31/2019,10500,233.7,71,1659.3,17.6
2/1/2019,10500,233.7,71,1659.3,17.6
2/2/2019,10500,233.7,71,1659.3,17.6
2/3/2019,10500,233.7,71,1659.3,17.6
2/4/2019,10500,233.7,71,1659.3,17.6
2/5/2019,10500,233.7,71,1659.3,17.6
2/6/2019,10500,233.7,71,1659.3,17.6
2/7/2019,10500,233.7,71,1659.3,17.6
2/8/2019,10500,233.7,71,1659.3,17.6
2/9/2019,10500,233.7,71,1659.3,17.6
2/10/2019,10500,233.7,71,1659.3,17.6
2/11/2019,10500,233.7,71,1659.3,17.6
2/12/2019,10500,233.7,71,1659.3,17.6
2/13/2019,10500,233.7,71,1659.3,17.6
2/14/2019,10500,233.7,71,1659.3,17.6
2/15/2019,10500,233.7,71,1659.3,17.6
2/16/2019,10500,233.7,71,1659.3,17.6
2/17/2019,10500,233.7,71,1659.3,17.6
2/18/2019,10500,233.7,71,1659.3,17.6
2/19/2019,10000,233.7,71,1659.3,17.6
2/20/2019,10000,233.7,71,1659.3,17.6
2/21/2019,10000,233.7,71,1659.3,17.6
2/22/2019,10000,233.7,71,1659.3,17.6
2/23/2019,10000,233.7,71,1659.3,17.6
2/24/2019,10000,233.7,71,1659.3,17.6
2/25/2019,10000,233.7,71,1659.3,17.6
2/26/2019,10000,233.7,71,1659.3,17.6
2/27/2019,10000,233.7,71,1659.3,17.6
2/28/2019,10500,233.7,71,1659.3,17.6
3/1/2019,10500,233.7,71,1659.3,17.6
3/2/2019,10500,233.7,71,1659.3,18.54
3/3/2019,10500,233.7,71,1659.3,18.54
3/4/2019,10500,233.7,71,1659.3,18.54
3/5/2019,10500,233.7,71,1659.3,18.54
3/6/2019,10500,233.7,71,1659.3,18.54
3/7/2019,10500,233.7,71,1659.3,18.54
3/8/2019,10500,233.7,71,1659.3,18.54
3/9/2019,10500,233.7,71,1659.3,18.54
3/10/2019,10500,233.7,71,1659.3,18.54
3/11/2019,10500,233.7,71,1659.3,18.54
3/12/2019,10500,233.7,71,1659.3,18.54
3/13/2019,10500,233.7,71,1659.3,18.54
