date,price,area,productivity,quantity,volume,value
1/5/2010,8250,234.2,73,1708.9,379979,204550382
1/7/2010,8250,234.2,73,1708.9,379979,204550382
1/11/2010,8250,234.2,73,1708.9,379979,204550382
1/12/2010,8250,234.2,73,1708.9,379979,204550382
1/13/2010,8250,234.2,73,1708.9,379979,204550382
1/14/2010,8250,234.2,73,1708.9,379979,204550382
1/18/2010,8500,234.2,73,1708.9,379979,204550382
1/19/2010,8500,234.2,73,1708.9,379979,204550382
1/21/2010,8250,234.2,73,1708.9,379979,204550382
1/22/2010,8250,234.2,73,1708.9,379979,204550382
1/25/2010,8250,234.2,73,1708.9,379979,204550382
1/26/2010,8250,234.2,73,1708.9,379979,204550382
1/27/2010,8250,234.2,73,1708.9,379979,204550382
1/28/2010,8250,234.2,73,1708.9,379979,204550382
1/29/2010,8800,234.2,73,1708.9,379979,204550382
2/10/2010,8250,234.2,73,1708.9,351302,204086149
2/22/2010,8750,234.2,73,1708.9,351302,204086149
2/23/2010,8750,234.2,73,1708.9,351302,204086149
2/24/2010,8750,234.2,73,1708.9,351302,204086149
2/25/2010,8750,234.2,73,1708.9,351302,204086149
2/26/2010,7250,234.2,73,1708.9,351302,204086149
2/27/2010,6750,234.2,73,1708.9,351302,204086149
3/1/2010,6750,234.2,73,1708.9,708770,382124080
3/2/2010,6750,234.2,73,1708.9,708770,382124080
3/3/2010,6750,234.2,73,1708.9,708770,382124080
3/4/2010,6750,234.2,73,1708.9,708770,382124080
3/5/2010,7000,234.2,73,1708.9,708770,382124080
3/8/2010,7000,234.2,73,1708.9,708770,382124080
3/11/2010,7000,234.2,73,1708.9,708770,382124080
3/12/2010,7500,234.2,73,1708.9,708770,382124080
3/15/2010,7500,234.2,73,1708.9,708770,382124080
3/16/2010,7500,234.2,73,1708.9,708770,382124080
3/17/2010,7500,234.2,73,1708.9,708770,382124080
3/18/2010,7500,234.2,73,1708.9,708770,382124080
3/19/2010,7500,234.2,73,1708.9,708770,382124080
3/22/2010,7500,234.2,73,1708.9,708770,382124080
3/23/2010,7500,234.2,73,1708.9,708770,382124080
4/1/2010,6800,234.2,73,1708.9,758672,378305978
4/2/2010,6750,234.2,73,1708.9,758672,378305978
4/5/2010,6750,234.2,73,1708.9,758672,378305978
4/6/2010,6750,234.2,73,1708.9,758672,378305978
4/7/2010,6750,234.2,73,1708.9,758672,378305978
4/8/2010,6750,234.2,73,1708.9,758672,378305978
4/9/2010,6750,234.2,73,1708.9,758672,378305978
4/12/2010,6750,234.2,73,1708.9,758672,378305978
4/13/2010,6750,234.2,73,1708.9,758672,378305978
4/14/2010,6750,234.2,73,1708.9,758672,378305978
4/15/2010,6750,234.2,73,1708.9,758672,378305978
4/19/2010,6750,234.2,73,1708.9,758672,378305978
4/21/2010,6750,234.2,73,1708.9,758672,378305978
4/26/2010,6750,234.2,73,1708.9,758672,378305978
4/28/2010,6750,234.2,73,1708.9,758672,378305978
5/4/2010,7000,234.2,73,1708.9,720396,330068830
5/5/2010,7000,234.2,73,1708.9,720396,330068830
5/6/2010,7000,234.2,73,1708.9,720396,330068830
5/7/2010,7000,234.2,73,1708.9,720396,330068830
5/10/2010,7000,234.2,73,1708.9,720396,330068830
5/12/2010,7000,234.2,73,1708.9,720396,330068830
5/17/2010,7000,234.2,73,1708.9,720396,330068830
5/18/2010,7000,234.2,73,1708.9,720396,330068830
5/20/2010,7000,234.2,73,1708.9,720396,330068830
5/21/2010,7000,234.2,73,1708.9,720396,330068830
5/24/2010,7000,234.2,73,1708.9,720396,330068830
5/25/2010,7000,234.2,73,1708.9,720396,330068830
5/26/2010,7000,234.2,73,1708.9,720396,330068830
5/27/2010,7000,234.2,73,1708.9,720396,330068830
5/28/2010,7000,234.2,73,1708.9,720396,330068830
5/31/2010,7000,234.2,73,1708.9,720396,330068830
6/1/2010,7000,234.2,73,1708.9,547318,235459228
6/2/2010,7000,234.2,73,1708.9,547318,235459228
6/3/2010,7000,234.2,73,1708.9,547318,235459228
6/7/2010,7000,234.2,73,1708.9,547318,235459228
6/8/2010,7000,234.2,73,1708.9,547318,235459228
6/10/2010,7000,234.2,73,1708.9,547318,235459228
6/11/2010,7000,234.2,73,1708.9,547318,235459228
6/14/2010,7000,234.2,73,1708.9,547318,235459228
6/15/2010,7000,234.2,73,1708.9,547318,235459228
6/18/2010,7000,234.2,73,1708.9,547318,235459228
6/21/2010,7000,234.2,73,1708.9,547318,235459228
6/22/2010,7000,234.2,73,1708.9,547318,235459228
6/25/2010,7000,234.2,73,1708.9,547318,235459228
6/29/2010,7000,234.2,73,1708.9,547318,235459228
7/2/2010,7000,234.2,73,1708.9,875092,366835541
7/5/2010,7000,234.2,73,1708.9,875092,366835541
7/12/2010,7000,234.2,73,1708.9,875092,366835541
7/13/2010,7000,234.2,73,1708.9,875092,366835541
7/15/2010,7000,234.2,73,1708.9,875092,366835541
7/16/2010,7000,234.2,73,1708.9,875092,366835541
7/20/2010,7000,234.2,73,1708.9,875092,366835541
7/21/2010,7000,234.2,73,1708.9,875092,366835541
7/22/2010,7000,234.2,73,1708.9,875092,366835541
7/23/2010,7000,234.2,73,1708.9,875092,366835541
7/26/2010,7000,234.2,73,1708.9,875092,366835541
7/27/2010,7000,234.2,73,1708.9,875092,366835541
7/28/2010,7000,234.2,73,1708.9,875092,366835541
7/29/2010,7000,234.2,73,1708.9,875092,366835541
7/30/2010,7000,234.2,73,1708.9,875092,366835541
8/2/2010,7000,234.2,73,1708.9,650449,242591849
8/3/2010,7000,234.2,73,1708.9,650449,242591849
8/4/2010,7000,234.2,73,1708.9,650449,242591849
8/5/2010,7000,234.2,73,1708.9,650449,242591849
8/6/2010,7000,234.2,73,1708.9,650449,242591849
8/9/2010,7000,234.2,73,1708.9,650449,242591849
8/10/2010,7000,234.2,73,1708.9,650449,242591849
8/11/2010,7000,234.2,73,1708.9,650449,242591849
8/12/2010,7000,234.2,73,1708.9,650449,242591849
8/13/2010,7000,234.2,73,1708.9,650449,242591849
8/16/2010,7000,234.2,73,1708.9,650449,242591849
8/17/2010,7000,234.2,73,1708.9,650449,242591849
8/18/2010,7000,234.2,73,1708.9,650449,242591849
8/19/2010,7000,234.2,73,1708.9,650449,242591849
8/20/2010,7000,234.2,73,1708.9,650449,242591849
8/23/2010,7000,234.2,73,1708.9,650449,242591849
8/24/2010,7000,234.2,73,1708.9,650449,242591849
8/25/2010,7000,234.2,73,1708.9,650449,242591849
8/26/2010,7000,234.2,73,1708.9,650449,242591849
8/27/2010,7000,234.2,73,1708.9,650449,242591849
8/30/2010,7000,234.2,73,1708.9,650449,242591849
8/31/2010,7000,234.2,73,1708.9,650449,242591849
9/1/2010,7000,234.2,73,1708.9,388167,163834304
9/7/2010,7000,234.2,73,1708.9,388167,163834304
9/8/2010,7000,234.2,73,1708.9,388167,163834304
9/9/2010,7000,234.2,73,1708.9,388167,163834304
9/10/2010,7000,234.2,73,1708.9,388167,163834304
9/11/2010,7000,234.2,73,1708.9,388167,163834304
9/13/2010,7250,234.2,73,1708.9,388167,163834304
9/14/2010,7250,234.2,73,1708.9,388167,163834304
9/15/2010,7250,234.2,73,1708.9,388167,163834304
9/16/2010,7250,234.2,73,1708.9,388167,163834304
9/17/2010,7250,234.2,73,1708.9,388167,163834304
9/20/2010,7250,234.2,73,1708.9,388167,163834304
9/21/2010,7250,234.2,73,1708.9,388167,163834304
9/22/2010,7250,234.2,73,1708.9,388167,163834304
9/23/2010,7250,234.2,73,1708.9,388167,163834304
9/24/2010,7250,234.2,73,1708.9,388167,163834304
9/27/2010,7250,234.2,73,1708.9,388167,163834304
9/28/2010,7250,234.2,73,1708.9,388167,163834304
9/29/2010,7250,234.2,73,1708.9,388167,163834304
9/30/2010,7250,234.2,73,1708.9,388167,163834304
10/1/2010,7250,234.2,73,1708.9,504663,233839259
10/4/2010,7250,234.2,73,1708.9,504663,233839259
10/5/2010,7250,234.2,73,1708.9,504663,233839259
10/6/2010,7250,234.2,73,1708.9,504663,233839259
10/7/2010,7250,234.2,73,1708.9,504663,233839259
10/11/2010,7250,234.2,73,1708.9,504663,233839259
10/13/2010,7250,234.2,73,1708.9,504663,233839259
10/15/2010,7250,234.2,73,1708.9,504663,233839259
10/18/2010,7750,234.2,73,1708.9,504663,233839259
10/19/2010,7750,234.2,73,1708.9,504663,233839259
10/20/2010,7750,234.2,73,1708.9,504663,233839259
10/22/2010,7750,234.2,73,1708.9,504663,233839259
10/27/2010,7750,234.2,73,1708.9,504663,233839259
10/28/2010,7750,234.2,73,1708.9,504663,233839259
10/29/2010,7750,234.2,73,1708.9,504663,233839259
11/2/2010,7750,234.2,73,1708.9,501645,246329414
11/3/2010,7750,234.2,73,1708.9,501645,246329414
11/5/2010,7750,234.2,73,1708.9,501645,246329414
11/8/2010,7750,234.2,73,1708.9,501645,246329414
11/9/2010,7750,234.2,73,1708.9,501645,246329414
11/10/2010,7750,234.2,73,1708.9,501645,246329414
11/11/2010,7750,234.2,73,1708.9,501645,246329414
11/12/2010,7750,234.2,73,1708.9,501645,246329414
11/17/2010,9000,234.2,73,1708.9,501645,246329414
11/19/2010,9000,234.2,73,1708.9,501645,246329414
11/22/2010,9000,234.2,73,1708.9,501645,246329414
11/23/2010,9000,234.2,73,1708.9,501645,246329414
11/24/2010,9000,234.2,73,1708.9,501645,246329414
11/25/2010,9000,234.2,73,1708.9,501645,246329414
11/26/2010,9000,234.2,73,1708.9,501645,246329414
12/1/2010,9000,234.2,73,1708.9,499726,259835357
12/3/2010,9000,234.2,73,1708.9,499726,259835357
12/6/2010,9500,234.2,73,1708.9,499726,259835357
12/7/2010,9500,234.2,73,1708.9,499726,259835357
12/8/2010,9500,234.2,73,1708.9,499726,259835357
12/9/2010,9500,234.2,73,1708.9,499726,259835357
12/10/2010,9500,234.2,73,1708.9,499726,259835357
12/13/2010,8750,234.2,73,1708.9,499726,259835357
12/15/2010,8750,234.2,73,1708.9,499726,259835357
12/17/2010,8750,234.2,73,1708.9,499726,259835357
12/20/2010,8750,234.2,73,1708.9,499726,259835357
12/21/2010,8000,234.2,73,1708.9,499726,259835357
12/22/2010,8000,234.2,73,1708.9,499726,259835357
12/24/2010,7850,234.2,73,1708.9,499726,259835357
12/27/2010,8000,234.2,73,1708.9,499726,259835357
12/28/2010,8000,234.2,73,1708.9,499726,259835357
1/5/2011,8000,235.5,75.1,1768.8,536292,279545629
1/6/2011,8000,235.5,75.1,1768.8,536292,279545629
1/10/2011,8250,235.5,75.1,1768.8,536292,279545629
1/11/2011,9250,235.5,75.1,1768.8,536292,279545629
1/12/2011,9250,235.5,75.1,1768.8,536292,279545629
1/13/2011,9250,235.5,75.1,1768.8,536292,279545629
1/14/2011,9250,235.5,75.1,1768.8,536292,279545629
1/18/2011,9250,235.5,75.1,1768.8,536292,279545629
1/19/2011,9250,235.5,75.1,1768.8,536292,279545629
1/20/2011,9250,235.5,75.1,1768.8,536292,279545629
1/21/2011,9000,235.5,75.1,1768.8,536292,279545629
1/24/2011,9000,235.5,75.1,1768.8,536292,279545629
1/25/2011,9500,235.5,75.1,1768.8,536292,279545629
1/26/2011,9500,235.5,75.1,1768.8,536292,279545629
2/8/2011,10000,235.5,75.1,1768.8,493872,241045820
2/9/2011,10000,235.5,75.1,1768.8,493872,241045820
2/11/2011,9500,235.5,75.1,1768.8,493872,241045820
2/15/2011,9500,235.5,75.1,1768.8,493872,241045820
2/16/2011,9500,235.5,75.1,1768.8,493872,241045820
2/17/2011,9500,235.5,75.1,1768.8,493872,241045820
2/18/2011,9500,235.5,75.1,1768.8,493872,241045820
2/21/2011,9500,235.5,75.1,1768.8,493872,241045820
2/23/2011,9500,235.5,75.1,1768.8,493872,241045820
2/25/2011,9500,235.5,75.1,1768.8,493872,241045820
2/28/2011,9500,235.5,75.1,1768.8,493872,241045820
3/1/2011,9500,235.5,75.1,1768.8,891757,446064867
3/2/2011,9500,235.5,75.1,1768.8,891757,446064867
3/3/2011,9500,235.5,75.1,1768.8,891757,446064867
3/4/2011,9500,235.5,75.1,1768.8,891757,446064867
3/7/2011,9500,235.5,75.1,1768.8,891757,446064867
3/9/2011,9500,235.5,75.1,1768.8,891757,446064867
3/11/2011,9500,235.5,75.1,1768.8,891757,446064867
3/14/2011,9500,235.5,75.1,1768.8,891757,446064867
3/15/2011,9500,235.5,75.1,1768.8,891757,446064867
3/16/2011,10000,235.5,75.1,1768.8,891757,446064867
3/17/2011,10000,235.5,75.1,1768.8,891757,446064867
3/18/2011,10000,235.5,75.1,1768.8,891757,446064867
3/21/2011,10000,235.5,75.1,1768.8,891757,446064867
3/23/2011,10000,235.5,75.1,1768.8,891757,446064867
3/24/2011,10000,235.5,75.1,1768.8,891757,446064867
3/25/2011,10000,235.5,75.1,1768.8,891757,446064867
3/28/2011,10000,235.5,75.1,1768.8,891757,446064867
3/29/2011,10000,235.5,75.1,1768.8,891757,446064867
3/30/2011,9500,235.5,75.1,1768.8,891757,446064867
3/31/2011,10000,235.5,75.1,1768.8,891757,446064867
4/1/2011,9750,235.5,75.1,1768.8,799606,375955155
4/4/2011,10000,235.5,75.1,1768.8,799606,375955155
4/5/2011,10000,235.5,75.1,1768.8,799606,375955155
4/6/2011,10000,235.5,75.1,1768.8,799606,375955155
4/7/2011,10000,235.5,75.1,1768.8,799606,375955155
4/8/2011,10000,235.5,75.1,1768.8,799606,375955155
4/9/2011,10100,235.5,75.1,1768.8,799606,375955155
4/13/2011,10100,235.5,75.1,1768.8,799606,375955155
4/14/2011,10100,235.5,75.1,1768.8,799606,375955155
4/15/2011,10100,235.5,75.1,1768.8,799606,375955155
4/18/2011,10100,235.5,75.1,1768.8,799606,375955155
4/19/2011,10000,235.5,75.1,1768.8,799606,375955155
4/20/2011,10000,235.5,75.1,1768.8,799606,375955155
4/21/2011,10000,235.5,75.1,1768.8,799606,375955155
4/22/2011,10000,235.5,75.1,1768.8,799606,375955155
4/25/2011,10250,235.5,75.1,1768.8,799606,375955155
4/26/2011,10800,235.5,75.1,1768.8,799606,375955155
4/27/2011,11000,235.5,75.1,1768.8,799606,375955155
4/28/2011,11000,235.5,75.1,1768.8,799606,375955155
4/29/2011,11000,235.5,75.1,1768.8,799606,375955155
5/4/2011,11000,235.5,75.1,1768.8,643697,314238732
5/5/2011,11000,235.5,75.1,1768.8,643697,314238732
5/9/2011,11000,235.5,75.1,1768.8,643697,314238732
5/10/2011,11000,235.5,75.1,1768.8,643697,314238732
5/11/2011,11000,235.5,75.1,1768.8,643697,314238732
5/12/2011,11000,235.5,75.1,1768.8,643697,314238732
5/13/2011,11000,235.5,75.1,1768.8,643697,314238732
5/18/2011,11000,235.5,75.1,1768.8,643697,314238732
5/19/2011,11000,235.5,75.1,1768.8,643697,314238732
5/20/2011,11000,235.5,75.1,1768.8,643697,314238732
5/23/2011,11000,235.5,75.1,1768.8,643697,314238732
5/24/2011,11000,235.5,75.1,1768.8,643697,314238732
5/26/2011,11000,235.5,75.1,1768.8,643697,314238732
5/27/2011,10500,235.5,75.1,1768.8,643697,314238732
5/30/2011,10500,235.5,75.1,1768.8,643697,314238732
5/31/2011,10500,235.5,75.1,1768.8,643697,314238732
6/1/2011,10500,235.5,75.1,1768.8,698907,337111152
6/2/2011,10500,235.5,75.1,1768.8,698907,337111152
6/3/2011,10500,235.5,75.1,1768.8,698907,337111152
6/6/2011,10500,235.5,75.1,1768.8,698907,337111152
