date,tavg,tmin,tmax,prcp,wdir,wspd,pres
1/1/2007,80.2,75.2,89.2,0,14,3.7,1011
1/2/2007,81.7,75.2,89.6,0,14,4.8,1011
1/3/2007,80.8,75.2,90.1,0,14,6.6,1011
1/4/2007,82.4,75.9,91,0,14,4,1011
1/5/2007,80.4,77,87.1,0,14,4,1011
1/6/2007,79.3,75.2,88.5,0,14,6.2,1011
1/7/2007,75.2,69.8,83.1,0,11,5.2,1011
1/8/2007,77.9,69.8,89.4,0,11,5.2,1011
1/9/2007,79.5,71.6,89.6,0,11,5.2,1011
1/10/2007,79.9,71.6,91.8,0,11,4.8,1011
1/11/2007,80.2,71.6,90.1,0,11,4.8,1011
1/12/2007,81.3,71.6,92.1,0,11,4.5,1011
1/13/2007,81.1,72.7,93.9,0,11,5.9,1011
1/14/2007,80.1,73.4,90.3,0,82,5,1011
1/15/2007,81,70.5,90.7,0,82,6.6,1011
1/16/2007,82.2,70.5,90.7,0,82,6.6,1011
1/17/2007,82.4,73.4,92.5,0,82,6.6,1011
1/18/2007,82,75.2,91.8,0,82,6.6,1011
1/19/2007,82.2,74.1,91.8,0.831,82,6.9,1011
1/20/2007,81.9,71.6,94.3,0.831,82,7.8,1011
1/21/2007,81.7,71.6,93.9,0.831,82,7.8,1011
1/22/2007,81.9,73.4,93.9,0.831,82,6.8,1011
1/23/2007,80.8,71.6,92.1,0.831,19,5.5,1011
1/24/2007,80.4,71.6,96.1,0.831,19,5.5,1011
1/25/2007,78.4,71.6,89.2,0.831,19,5.5,1011
1/26/2007,78.1,68,90,0.831,19,6.2,1011
1/27/2007,77.4,68,94.3,0.831,19,6.2,1011
1/28/2007,75.7,66.2,89.6,0.831,19,7.3,1011
1/29/2007,73.9,61.5,86.4,0.831,110,6.5,1011
1/30/2007,73.6,61.5,87.8,0.831,110,6.5,1011
1/31/2007,74.8,64.4,88.3,0.831,110,6.5,1011
2/1/2007,74.3,63,85.5,0.831,110,5.2,1011
2/2/2007,74.8,64.4,87.6,0.831,110,5.2,1011
2/3/2007,75.4,65.1,88.5,0.831,110,5.6,1011
2/4/2007,76.3,65.1,91.4,0.831,110,5.6,1011
2/5/2007,77.2,66.7,90.7,0.831,110,6.8,1011
2/6/2007,79.2,66.7,92.5,0.831,110,6.8,1011
2/7/2007,79,71.6,91.8,0.831,110,7.5,1011
2/8/2007,80.6,70.9,93.9,0.831,110,8,1011
2/9/2007,80.4,70.9,93.2,0.831,110,8,1011
2/10/2007,81.7,71.6,97.5,0.831,110,8,1011
2/11/2007,82,71.6,93.9,0.831,110,8,1011
2/12/2007,80.6,73.4,91.4,0.831,131,6.9,1011
2/13/2007,79.9,73.4,91.4,0.831,131,8.1,1011
2/14/2007,80.1,73.4,92.7,0.831,132,9.1,1011
2/15/2007,80.1,73,93.7,0.831,126,8.7,1011
2/16/2007,79.9,71.6,92.1,0.831,139,9.5,1011
2/17/2007,79.5,74.1,90.1,0.831,128,7.8,1011
2/18/2007,80.1,73.4,92.1,0.831,132,7.6,1011
2/19/2007,79.7,74.1,89.6,0.831,132,7.6,1011
2/20/2007,82.8,74.1,92.1,0.831,132,7.6,1011
2/21/2007,83.5,78.8,93.4,0.831,132,8.6,1011
2/22/2007,83.5,77,94.3,0.831,123,10.8,1011
2/23/2007,82.6,77,93.2,0.831,139,9.4,1011
2/24/2007,82.9,75.2,93.9,0.831,131,9.8,1011
2/25/2007,81.7,75.2,91.8,0.831,142,7.8,1011
2/26/2007,82.8,75.2,93.9,0.831,142,7.8,1011
2/27/2007,82.9,75.6,93.6,0.831,142,8.2,1011
2/28/2007,82.6,77,93.2,0.831,142,8.9,1011
3/1/2007,83.5,77,93.2,0.831,142,8.9,1011
3/2/2007,82.2,75.2,92.1,0.831,142,8.9,1011
3/3/2007,81.7,75.2,92.1,0.831,142,8.9,1011
3/4/2007,81.9,75.2,91.4,0.831,114,8.3,1011
3/5/2007,82.9,77,95.4,0.831,114,7.6,1011
3/6/2007,81.3,73.8,92.1,0.831,114,7.6,1011
3/7/2007,82.9,73.8,93.9,0.831,114,7.6,1011
3/8/2007,82.9,77.7,94.5,0.831,114,7.6,1011
3/9/2007,82.9,77.7,94.5,0.831,114,7.6,1011
3/10/2007,84.9,73,96.8,0.831,114,9.9,1011
3/11/2007,85.5,78.8,97.5,0.831,116,10.2,1011
3/12/2007,86,77,98.6,0.831,112,10.6,1011
3/13/2007,83.8,78.8,96.1,0.831,127,10.6,1011
3/14/2007,82.4,77,93.2,0.831,137,9.7,1011
3/15/2007,82.8,68.5,93.6,0.831,156,7.8,1011
3/16/2007,83.5,77,93.2,0.831,156,7.8,1011
3/17/2007,82.4,78.8,94.5,0.831,132,8.7,1011
3/18/2007,84,70.5,95.7,0.831,132,5.5,1011
3/19/2007,83.7,70.5,95,0.831,132,5.5,1011
3/20/2007,79.3,70.5,91.4,0.831,132,5.5,1011
3/21/2007,78.4,70.5,92.7,0.831,132,5.5,1011
3/22/2007,82.8,73.9,93.6,1.488,132,5.5,1011
3/23/2007,82.2,75.2,91.4,1.488,132,5.9,1011
3/24/2007,82.9,77,92.1,1.488,132,7.4,1011
3/25/2007,83.5,77,92.8,1.488,132,7.3,1011
3/26/2007,84,79.3,93.6,1.488,132,7.2,1011
3/27/2007,84.7,79.3,95,1.488,132,7.2,1011
3/28/2007,84.4,80.6,93.6,1.488,132,8,1011
3/29/2007,84.6,78.8,95,1.488,132,11.3,1011
3/30/2007,84.7,78.8,98.6,1.488,117,9.5,1011
3/31/2007,83.7,78.8,93.4,1.488,101,8.8,1011
4/1/2007,85.6,75.9,96.8,1.488,101,5.9,1011
4/2/2007,86.4,77.7,100,1.488,101,6.5,1011
4/3/2007,84.6,78.8,95.7,1.488,101,7.6,1011
4/4/2007,84.4,75.9,95.7,1.488,101,9.3,1011
4/5/2007,86.5,75.9,98.1,1.488,101,9.3,1011
4/6/2007,86.7,75.9,99,1.488,101,9.3,1011
4/7/2007,84.7,77.9,97.9,1.488,113,8.1,1011
4/8/2007,84.9,77.9,95,1.488,113,8.1,1011
4/9/2007,85.5,77.9,96.3,1.488,113,8.1,1011
4/10/2007,85.3,77.9,93.7,1.488,113,8.1,1011
4/11/2007,85.5,80.6,94.3,1.488,113,9.1,1011
4/12/2007,85.5,78.8,93.9,1.488,120,10,1011
4/13/2007,85.8,78.8,96.1,1.488,120,10,1011
4/14/2007,84.9,80.6,97.3,1.488,136,9.5,1011
4/15/2007,85.6,79.5,97.5,1.488,136,7.1,1011
4/16/2007,86,80.6,97.3,1.488,136,6.3,1011
4/17/2007,86,75.9,98.2,1.488,136,6.8,1011
4/18/2007,83.8,75.9,98.2,1.488,136,6.8,1011
4/19/2007,84.4,75.9,94.6,1.488,136,6.8,1011
4/20/2007,85.5,79,97.5,1.488,136,8.1,1011
4/21/2007,85.8,80.6,96.3,1.488,136,8.1,1011
4/22/2007,87.6,79.5,98.6,1.488,99,7.4,1011
4/23/2007,87.3,80.6,97.2,1.488,99,6.7,1011
4/24/2007,87.3,82.4,97.5,1.488,99,9.1,1011
4/25/2007,86.5,82.4,96.3,1.488,99,8.7,1011
4/26/2007,86,77,96.8,1.488,99,8.8,1011
4/27/2007,85.8,74.5,95,1.488,89,7.6,1011
4/28/2007,82,77,93.9,1.488,89,8.1,1011
4/29/2007,84,75.2,94.6,1.488,107,8.8,1011
4/30/2007,82.2,77.7,88.2,1.488,107,8.4,1011
5/1/2007,84,75.9,93.2,1.488,125,10.2,1011
5/2/2007,85.8,75.9,96.8,1.488,125,10.2,1011
5/3/2007,85.6,79,98.1,1.488,125,10.2,1011
5/4/2007,85.8,80.6,95.7,1.488,136,9.4,1011
5/5/2007,85.1,80.6,95.7,1.488,230,9.1,1011
5/6/2007,85.8,80.6,96.8,1.488,230,9.1,1011
5/7/2007,81.1,77,88.9,1.488,248,4.2,1011
5/8/2007,82,78.8,92.1,1.488,248,5.2,1011
5/9/2007,81.3,75.2,91.4,1.488,248,6.2,1011
5/10/2007,79.9,75.2,92.1,1.488,248,4.6,1011
5/11/2007,82.2,75.2,93.2,0.24,248,4.7,1011
5/12/2007,79.7,75.2,93.2,0.24,248,4.7,1011
5/13/2007,79,73.6,88.5,0.551,248,6.2,1011
5/14/2007,76.1,75.2,78.4,1.661,248,3.9,1011
5/15/2007,81.5,77,89.6,0,248,6.2,1011
5/16/2007,84.2,78.1,92.1,0,248,7.1,1011
5/17/2007,84,78.8,94.3,0,248,7.1,1011
5/18/2007,82.8,76.3,91.8,0,248,5.6,1011
5/19/2007,83.7,78.8,91.4,0,248,4.6,1011
5/20/2007,82.9,77,93.9,0,248,4.8,1011
5/21/2007,83.1,75.2,94.6,0,248,6.1,1011
5/22/2007,83.8,77.9,95.4,0.319,248,8.8,1011
5/23/2007,86.2,78.8,95,1.539,248,8.8,1011
5/24/2007,86.7,78.8,95.4,1.539,248,8.8,1011
5/25/2007,82.4,75.2,93.2,1.539,253,7,1011
5/26/2007,84.6,78.8,95,1.539,253,6.3,1011
5/27/2007,82.8,78.8,96.3,1.539,253,6.5,1011
5/28/2007,79.2,75.2,93.9,0.28,253,4.6,1011
5/29/2007,80.4,75.2,91.8,0.28,253,4.6,1011
5/30/2007,83.3,73,93.9,0.78,253,5,1011
5/31/2007,83.1,77.4,94.6,0.78,253,5.3,1011
6/1/2007,84.9,78.1,95.4,0.78,253,6.5,1011
6/2/2007,81.3,75.2,91.4,0.78,253,6.5,1011
6/3/2007,82.8,75,95.4,0.78,253,5,1011
6/4/2007,84.9,78.3,92.7,0.78,253,5,1011
6/5/2007,81.3,75.2,92.7,0.78,253,5,1011
6/6/2007,83.5,77.5,93.4,0.78,253,5,1011
6/7/2007,83.8,77.5,93.4,0.78,253,5,1011
6/8/2007,86.2,77.5,95,0.78,253,5,1011
6/9/2007,85.8,80.6,93.6,0.78,253,7.1,1011
6/10/2007,86.7,80.6,95.4,0.78,253,6.5,1011
6/11/2007,86.2,80.6,98.1,0.78,253,7.1,1011
6/12/2007,82.6,75.6,97,0.78,253,4.5,1011
6/13/2007,86.5,75.6,94.5,0.78,253,4.5,1011
6/14/2007,82.9,79.2,93.7,0.78,253,5.3,1011
6/15/2007,81,77,92.7,0.78,253,4.3,1011
6/16/2007,82.4,75.6,90.3,0.78,253,3.7,1011
6/17/2007,82.9,75.2,92.1,0.909,253,3.7,1011
6/18/2007,81.9,75.2,93.6,0.909,253,3.7,1011
6/19/2007,80.4,75.2,91,0.909,253,3.7,1011
6/20/2007,79.9,75.2,92.1,0.909,253,4.3,1011
6/21/2007,82.6,77,91.4,0.909,253,7,1011
6/22/2007,78.3,77,82.9,0.909,253,7,1011
6/23/2007,78.6,77,83.7,0.28,253,7,1011
6/24/2007,80.8,77,88.5,0.28,253,7,1011
6/25/2007,79.2,75.2,87.8,0.28,253,4.4,1011
6/26/2007,79.2,75.2,91.9,0.28,253,7.3,1011
6/27/2007,80.4,75.2,94.3,0.161,253,6.3,1011
6/28/2007,79.9,75.2,88.3,0.161,253,5.2,1011
6/29/2007,81,73.8,88.5,0,253,6.5,1011
6/30/2007,78.4,73.4,92.3,0,253,6.5,1011
7/1/2007,81.3,75.2,92.7,0,253,7.5,1011
7/2/2007,80.1,75.6,84.7,0,253,6,1011
7/3/2007,78.4,73.8,91.4,0.098,253,6,1011
7/4/2007,79.9,73.8,91.4,0.098,253,6,1011
7/5/2007,79.5,73.8,90.3,0.669,253,6,1011
7/6/2007,79,75.2,87.8,0.161,253,8.3,1011
7/7/2007,81.1,75.2,90.7,0.118,253,8.3,1011
7/8/2007,80.8,75.2,91.4,0.118,253,8.3,1011
7/9/2007,81.9,75.2,90.7,0.118,247,10.4,1011
7/10/2007,80.4,75.2,90,0.469,247,10.4,1011
7/11/2007,77.5,75.2,86.4,0,247,10.4,1011
7/12/2007,81.3,75.2,91.8,0,247,10.4,1011
7/13/2007,81.3,75.2,92.3,0.669,247,9.7,1011
7/14/2007,82.6,77.4,89.6,0.669,247,5.4,1011
7/15/2007,78.1,73.4,89.6,0.669,247,5.4,1011
7/16/2007,78.6,73.4,83.1,0.669,247,5.4,1011
7/17/2007,82.8,75.6,92.5,1.65,247,5.2,1011
7/18/2007,82.9,77,91.8,1.65,247,5.2,1011
7/19/2007,80.6,77.4,92.8,1.65,247,5.4,1011
7/20/2007,83.5,77.4,92.8,4.291,247,5.4,1011
7/21/2007,82.8,77,90.9,4.291,247,5.4,1011
7/22/2007,84.6,77,93.9,4.291,247,5.4,1011
7/23/2007,82.9,77,91.4,4.291,247,5.2,1011
7/24/2007,81,75.2,93.6,4.291,247,5.2,1011
7/25/2007,81,75.2,94.3,4.291,247,5.2,1011
7/26/2007,80.1,74.1,92.1,4.291,247,4.8,1011
7/27/2007,81.3,74.1,92.5,4.291,247,4.8,1011
7/28/2007,79.9,74.1,91.8,4.291,247,4.8,1011
7/29/2007,79.7,75.2,92.5,0.161,247,4.8,1011
7/30/2007,77.9,75.2,91.9,0.48,247,8.3,1011
7/31/2007,80.8,75.2,88.2,0.331,247,8.3,1011
8/1/2007,81.5,73.9,90.3,0.319,247,7.5,1011
8/2/2007,75.6,71.6,82,0.319,247,6.6,1011
8/3/2007,77.9,71.6,82.9,0.098,247,6.6,1011
8/4/2007,77.2,71.6,79.2,0.098,247,8.8,1011
8/5/2007,78.4,74.8,84.9,0.098,247,8.8,1011
8/6/2007,81,75.2,89.6,0.752,244,11.7,1011
8/7/2007,82.6,76.1,91.8,0.752,240,12.4,1011
8/8/2007,80.4,73.4,88.3,0.752,239,7.8,1011
8/9/2007,77,73.4,82.4,0.752,239,7.8,1011
8/10/2007,78.6,73.4,86.5,1.461,239,7.8,1011
8/11/2007,82.6,75.2,93.6,0.161,239,7.8,1011
8/12/2007,83.7,77,93.2,0.161,239,9.6,1011
8/13/2007,84.2,78.1,92.1,0.161,238,9.4,1011
8/14/2007,85.6,78.8,94.5,0.161,244,9.7,1011
8/15/2007,84.7,78.8,93.6,0.161,216,10.6,1011
8/16/2007,80.4,78.8,88.5,0.161,216,10.6,1011
8/17/2007,81.3,77,88.2,0.161,225,11.9,1011
8/18/2007,83.8,77.5,93.6,0.161,228,10.6,1011
8/19/2007,82,77,91.8,0.161,215,6.6,1011
8/20/2007,81.9,77,91.4,0.161,215,6.6,1011
8/21/2007,82.2,78.4,90.3,0.079,215,10.1,1011
8/22/2007,83.1,77,92.7,0.079,227,7.1,1011
8/23/2007,84.7,77.7,93.2,0.831,209,5.2,1011
8/24/2007,81.7,77,91.8,0.831,209,6.5,1011
8/25/2007,79.7,75.6,91.8,0.831,209,5.3,1011
8/26/2007,81.5,75.6,92.1,0.161,209,5.3,1011
8/27/2007,81.7,73.4,91.8,0.161,209,6.8,1011
8/28/2007,79.3,73.4,92.1,4.098,209,6.8,1011
8/29/2007,82,78.8,92.1,4.098,209,6.8,1011
8/30/2007,83.3,78.8,91.4,4.098,209,6.8,1011
8/31/2007,82.4,75.2,93.6,4.098,228,5.4,1011
9/1/2007,81.9,73.4,91.4,4.098,228,5.4,1011
9/2/2007,79.3,73.4,91.8,4.098,228,5.4,1011
9/3/2007,80.1,74.8,91,0.39,228,3.7,1011
9/4/2007,80.8,75.2,91.4,0.39,228,4.1,1011
9/5/2007,84.9,75.6,95,0.39,228,4.1,1011
9/6/2007,85.1,77,92.7,0.39,228,5.4,1011
9/7/2007,81,77,93.9,0.39,228,5.4,1011
9/8/2007,82.2,77,95,0.39,228,5.4,1011
9/9/2007,84,77,93.7,0.39,228,6.9,1011
9/10/2007,82.6,77.4,93.2,0.39,228,6.9,1011
9/11/2007,82.2,77,92.8,0.39,228,6.9,1011
9/12/2007,80.2,75.2,91.4,0.39,228,5.3,1011
9/13/2007,83.7,76.8,92.1,0.39,228,5.4,1011
9/14/2007,77.7,73.4,90,0.39,228,4.4,1011
9/15/2007,79,73.4,90.9,0.161,228,4.4,1011
9/16/2007,81.3,75.6,92.5,0.098,228,5.7,1011
9/17/2007,82,77,90.3,0.24,228,9.4,1011
9/18/2007,78.4,73.4,86,0.24,270,6.6,1011
9/19/2007,79.3,73.4,88.9,0.24,270,6.6,1011
