date,price,RON 95-III
2018-08-22,33700.0,21.17
2018-08-23,33400.0,21.17
2018-08-24,33100.0,21.17
2018-08-25,33300.0,21.17
2018-08-26,33300.0,21.17
2018-08-27,33200.0,21.17
2018-08-28,33300.0,21.17
2018-08-29,33200.0,21.17
2018-08-30,33500.0,21.17
2018-08-31,33000.0,21.17
2018-09-01,32700.0,21.17
2018-09-02,32700.0,21.17
2018-09-03,32700.0,21.17
2018-09-04,32700.0,21.17
2018-09-05,32400.0,21.17
2018-09-06,32900.0,21.47
2018-09-07,32700.0,21.47
2018-09-08,32700.0,21.47
2018-09-09,32700.0,21.47
2018-09-10,32700.0,21.47
2018-09-11,32400.0,21.47
2018-09-12,32300.0,21.47
2018-09-13,33000.0,21.47
2018-09-14,32800.0,21.47
2018-09-15,32600.0,21.47
2018-09-16,32600.0,21.47
2018-09-17,32600.0,21.47
2018-09-18,32400.0,21.47
2018-09-19,32500.0,21.47
2018-09-20,32400.0,21.47
2018-09-21,32800.0,21.77
2018-09-22,32800.0,21.77
2018-09-23,32800.0,21.77
2018-09-24,32400.0,21.77
2018-09-25,32800.0,21.77
2018-09-26,32700.0,21.77
2018-09-27,32800.0,21.77
2018-09-28,32900.0,21.77
2018-09-29,33600.0,21.77
2018-09-30,33600.0,21.77
2018-10-01,33600.0,21.77
2018-10-02,33900.0,21.77
2018-10-03,34500.0,21.77
2018-10-04,34200.0,21.77
2018-10-05,34600.0,21.77
2018-10-06,35400.0,22.34
2018-10-07,35400.0,22.34
2018-10-08,35400.0,22.34
2018-10-09,35900.0,22.34
2018-10-10,36100.0,22.34
2018-10-11,35900.0,22.34
2018-10-12,36200.0,22.34
2018-10-13,36700.0,22.34
2018-10-14,36700.0,22.34
2018-10-15,36800.0,22.34
2018-10-16,37300.0,22.34
2018-10-17,37400.0,22.34
2018-10-18,37800.0,22.34
2018-10-19,37700.0,22.34
2018-10-20,37100.0,22.34
2018-10-21,37100.0,22.34
2018-10-22,37300.0,22.2
2018-10-23,36900.0,22.2
2018-10-24,36900.0,22.2
2018-10-25,36800.0,22.2
2018-10-26,36700.0,22.2
2018-10-27,37100.0,22.2
2018-10-28,37100.0,22.2
2018-10-29,37100.0,22.2
2018-10-30,36000.0,22.2
2018-10-31,35800.0,22.2
2018-11-01,35900.0,22.2
2018-11-02,36800.0,22.2
2018-11-03,37100.0,22.2
2018-11-04,37100.0,22.2
2018-11-05,37100.0,22.2
2018-11-06,36300.0,21.06
2018-11-07,35900.0,21.06
2018-11-08,36300.0,21.06
2018-11-09,36200.0,21.06
2018-11-10,36300.0,21.06
2018-11-11,36300.0,21.06
2018-11-12,36500.0,21.06
2018-11-13,35800.0,21.06
2018-11-14,35700.0,21.06
2018-11-15,36000.0,21.06
2018-11-16,36100.0,21.06
2018-11-17,35700.0,21.06
2018-11-18,35700.0,21.06
2018-11-19,35800.0,21.06
2018-11-20,35500.0,21.06
2018-11-21,35500.0,19.97
2018-11-22,35300.0,19.97
2018-11-23,35200.0,19.97
2018-11-24,35200.0,19.97
2018-11-25,35200.0,19.97
2018-11-26,35200.0,19.97
2018-11-27,35600.0,19.97
2018-11-28,35800.0,19.97
2018-11-29,34900.0,19.97
2018-11-30,34800.0,19.97
2018-12-01,34500.0,19.97
2018-12-02,34500.0,19.97
2018-12-03,34500.0,19.97
2018-12-04,34300.0,19.97
2018-12-05,34100.0,19.97
2018-12-06,34300.0,18.45
2018-12-07,34000.0,18.45
2018-12-08,33800.0,18.45
2018-12-09,33800.0,18.45
2018-12-10,33900.0,18.45
2018-12-11,33800.0,18.45
2018-12-12,33500.0,18.45
2018-12-13,33400.0,18.45
2018-12-14,33000.0,18.45
2018-12-15,32400.0,18.45
2018-12-16,32400.0,18.45
2018-12-17,32400.0,18.45
2018-12-18,32500.0,18.45
2018-12-19,32600.0,18.45
2018-12-20,33000.0,18.45
2018-12-21,33300.0,18.14
2018-12-22,32600.0,18.14
2018-12-23,32600.0,18.14
2018-12-24,32600.0,18.14
2018-12-25,32600.0,18.14
2018-12-26,32600.0,18.14
2018-12-27,32600.0,18.14
2018-12-28,32600.0,18.14
2018-12-29,32600.0,18.14
2018-12-30,32600.0,18.14
2018-12-31,32600.0,18.14
2019-01-01,32600.0,17.6
2019-01-02,32600.0,17.6
2019-01-03,32600.0,17.6
2019-01-04,34200.0,17.6
2019-01-05,34000.0,17.6
2019-01-06,34000.0,17.6
2019-01-07,33900.0,17.6
2019-01-08,33800.0,17.6
2019-01-09,34100.0,17.6
2019-01-10,33700.0,17.6
2019-01-11,33750.0,17.6
2019-01-12,33750.0,17.6
2019-01-13,33750.0,17.6
2019-01-14,33700.0,17.6
2019-01-15,33400.0,17.6
2019-01-16,33400.0,17.6
2019-01-17,33600.0,17.6
2019-01-18,33600.0,17.6
2019-01-19,33600.0,17.6
2019-01-20,33600.0,17.6
2019-01-21,33550.0,17.6
2019-01-22,33700.0,17.6
2019-01-23,33300.0,17.6
2019-01-24,33100.0,17.6
2019-01-25,33600.0,17.6
2019-01-26,33500.0,17.6
2019-01-27,33300.0,17.6
2019-01-28,33450.0,17.6
2019-01-29,33350.0,17.6
2019-01-30,33600.0,17.6
2019-01-31,33400.0,17.6
2019-02-01,33900.0,17.6
2019-02-02,33700.0,17.6
2019-02-03,33700.0,17.6
2019-02-04,33700.0,17.6
