date,price,tavg,tmax,pres
2007-07-17,16000.0,82.8,92.5,1011.0
2007-07-19,16000.0,80.6,92.8,1011.0
2007-07-20,16000.0,83.5,92.8,1011.0
2007-07-23,16000.0,82.9,91.4,1011.0
2007-07-24,16000.0,81.0,93.6,1011.0
2007-07-25,16000.0,81.0,94.3,1011.0
2007-07-26,16000.0,80.1,92.1,1011.0
2007-07-27,18000.0,81.3,92.5,1011.0
2007-07-30,18000.0,77.9,91.9,1011.0
2007-07-31,18000.0,80.8,88.2,1011.0
2007-08-01,18000.0,81.5,90.3,1011.0
2007-08-02,18000.0,75.6,82.0,1011.0
2007-08-03,18000.0,77.9,82.9,1011.0
2007-08-07,18000.0,82.6,91.8,1011.0
2007-08-08,18000.0,80.4,88.3,1011.0
2009-03-26,17000.0,83.8,93.9,1011.0
2009-04-02,17000.0,81.7,94.5,1011.0
2009-04-09,16000.0,81.0,93.6,1011.0
2009-12-02,15000.0,80.1,90.3,1011.0
2009-12-03,15000.0,78.6,90.0,1011.0
2009-12-08,15000.0,78.1,89.6,1011.0
2009-12-09,15000.0,77.7,89.6,1011.0
2009-12-10,12000.0,77.7,87.8,1011.0
2009-12-15,15000.0,81.1,91.8,1011.0
2009-12-16,15000.0,76.8,86.0,1011.0
2009-12-17,15000.0,80.2,89.6,1011.0
2009-12-18,15000.0,81.3,92.7,1011.0
2009-12-21,15000.0,77.4,86.4,1011.0
2009-12-22,15000.0,78.3,88.9,1011.0
2009-12-23,15000.0,79.3,90.5,1011.0
2009-12-24,15000.0,80.6,90.7,1011.0
2009-12-25,13000.0,80.8,91.4,1011.0
2009-12-28,20000.0,79.2,90.7,1011.0
2009-12-30,20000.0,79.9,92.5,1011.0
2009-12-31,20000.0,80.1,92.1,1011.0
2010-01-05,20000.0,80.4,91.8,1011.0
2010-01-07,20000.0,80.1,93.2,1011.0
2010-01-11,20000.0,79.5,88.9,1011.0
2010-01-12,18000.0,78.4,89.6,1011.0
2010-01-13,16000.0,78.4,90.3,1011.0
2010-01-14,17000.0,76.8,89.6,1011.0
2010-01-18,17000.0,79.0,90.3,1011.0
2010-01-19,17000.0,72.1,75.2,1011.0
2010-01-21,17000.0,79.2,90.7,1011.0
2010-01-22,18000.0,80.4,90.0,1011.0
2010-01-25,18000.0,80.2,92.1,1011.0
2010-01-26,18000.0,78.8,88.5,1011.0
2010-01-27,18000.0,80.6,92.5,1011.0
2010-01-28,17000.0,80.4,90.3,1011.0
2010-01-29,17000.0,81.1,92.1,1011.0
2010-02-10,20000.0,80.2,92.1,1011.0
2010-02-22,20000.0,82.0,92.5,1011.0
2010-02-23,20000.0,81.7,92.1,1011.0
2010-02-24,16000.0,80.8,91.4,1011.0
2010-02-25,15000.0,81.7,93.6,1011.0
2010-02-26,15000.0,82.9,94.6,1011.0
2010-02-27,15000.0,83.3,93.6,1011.0
2010-03-01,15000.0,82.6,92.8,1011.0
2010-03-02,15000.0,83.5,93.2,1011.0
2010-03-03,15000.0,82.0,91.9,1011.0
2010-03-04,15000.0,82.8,91.4,1011.0
2010-03-05,15000.0,82.2,91.8,1011.0
2010-03-08,19000.0,83.7,93.6,1011.0
2010-03-10,19000.0,82.8,95.0,1011.0
2010-03-11,19000.0,83.3,95.7,1011.0
2010-03-12,15000.0,84.0,97.5,1011.0
2010-03-15,17000.0,83.1,94.3,1011.0
2010-03-16,17000.0,84.9,96.1,1011.0
2010-03-17,20000.0,84.9,96.1,1011.0
2010-03-18,20000.0,84.6,97.5,1011.0
2010-03-19,20000.0,84.9,97.5,1011.0
2010-03-22,20000.0,84.0,95.7,1011.0
2010-03-23,20000.0,84.6,95.4,1011.0
2010-04-01,20000.0,84.0,94.1,1011.0
2010-04-02,20000.0,84.6,93.9,1011.0
2010-04-05,20000.0,85.5,96.8,1011.0
2010-04-06,17000.0,85.1,93.6,1011.0
2010-04-07,17000.0,85.3,96.8,1011.0
2010-04-08,17000.0,85.3,95.4,1011.0
2010-04-09,17000.0,87.6,95.7,1011.0
2010-04-12,19000.0,84.7,91.4,1011.0
2010-04-13,19000.0,84.4,95.4,1011.0
2010-04-14,18000.0,85.6,97.2,1011.0
2010-04-15,18000.0,86.4,96.8,1011.0
2010-04-19,20000.0,84.2,96.1,1011.0
2010-04-21,20000.0,86.2,95.4,1011.0
2010-04-26,23000.0,87.3,99.3,1011.0
2010-04-28,23000.0,86.5,96.8,1011.0
2010-05-04,23000.0,83.8,93.9,1011.0
2010-05-06,23000.0,86.5,96.8,1011.0
2010-05-07,23000.0,87.6,99.7,1011.0
2010-05-10,23000.0,87.4,98.6,1011.0
2010-05-12,18000.0,88.0,99.7,1011.0
2010-05-17,18000.0,88.5,99.3,1011.0
2010-05-18,18000.0,87.4,99.7,1011.0
2010-05-20,17000.0,87.1,98.2,1011.0
2010-05-21,17000.0,86.2,97.5,1011.0
2010-05-24,18000.0,88.9,99.0,1011.0
2010-05-25,18000.0,86.7,97.5,1011.0
2010-05-26,18000.0,85.8,94.5,1011.0
2010-05-27,20000.0,84.0,96.8,1011.0
2010-05-28,20000.0,82.9,97.5,1011.0
2010-05-31,20000.0,85.5,98.6,1011.0
2010-06-01,20000.0,87.1,99.5,1011.0
2010-06-02,20000.0,85.8,95.7,1011.0
2010-06-03,20000.0,82.0,98.6,1011.0
2010-06-07,22000.0,83.7,95.4,1011.0
2010-06-08,22000.0,82.6,93.7,1011.0
2010-06-10,22000.0,82.0,93.9,1011.0
2010-06-11,22000.0,84.7,95.9,1011.0
2010-06-14,22000.0,82.9,93.2,1011.0
2010-06-15,22000.0,81.9,92.5,1011.0
2010-06-18,22000.0,80.4,89.6,1011.0
2010-06-21,22000.0,80.4,88.5,1011.0
2010-06-22,25000.0,80.8,88.5,1011.0
2010-06-25,25000.0,84.2,93.9,1011.0
2010-06-29,23000.0,81.7,92.1,1011.0
2010-07-02,23000.0,81.0,92.1,1011.0
2010-07-05,23000.0,81.3,91.4,1011.0
2010-07-12,25000.0,79.9,92.1,1011.0
2010-07-13,25000.0,80.6,90.3,1011.0
2010-07-15,23000.0,79.3,92.1,1011.0
2010-07-16,23000.0,79.0,89.6,1011.0
2010-07-20,30000.0,81.5,92.5,1011.0
2010-07-21,30000.0,80.4,91.4,1011.0
2010-07-22,30000.0,81.1,92.1,1011.0
2010-07-23,26000.0,81.3,90.3,1011.0
2010-07-26,26000.0,79.5,85.5,1011.0
2010-07-27,24000.0,80.6,90.3,1011.0
