date,price,tavg,tmax,pres
2014-11-20,18000,82.6,89.6,1011.0
2014-11-27,18000,82.8,91.4,1011.0
2014-12-04,18000,83.5,89.6,1011.0
2014-12-11,18000,82.0,87.8,1011.0
2014-12-25,18000,83.8,91.4,1011.0
2015-01-01,18000,78.6,87.8,1011.0
2015-01-08,18000,81.9,91.4,1011.0
2015-01-15,18000,76.8,87.8,1011.0
2015-01-22,18000,78.1,87.8,1011.0
2015-01-29,18000,78.8,91.4,1011.0
2015-02-05,20000,79.2,89.6,1011.0
2015-02-12,20000,78.1,89.6,1011.0
2015-03-05,20000,83.1,91.4,1011.0
2015-03-12,20000,83.8,93.2,1011.0
2015-03-19,18000,83.7,95.0,1011.0
2015-03-26,18000,86.9,96.8,1011.0
2015-04-02,18000,85.5,95.0,1011.0
2015-04-09,18000,87.1,96.8,1011.0
2015-04-16,20000,84.9,93.2,1011.0
2015-04-30,15000,86.7,95.0,1011.0
2015-05-07,15000,87.3,93.2,1011.0
2015-05-14,10000,87.6,95.0,1011.0
2015-05-21,10000,88.3,98.6,1011.0
2015-05-28,15000,86.4,93.2,1011.0
2015-06-04,15000,86.7,95.0,1011.0
2015-06-11,15000,87.1,95.0,1011.0
2015-06-18,10000,82.2,89.6,1011.0
2015-06-25,10000,82.4,87.8,1011.0
2015-07-02,10000,85.1,91.4,1011.0
2015-07-09,10000,82.6,91.4,1011.0
2015-07-16,10000,82.8,91.4,1011.0
2015-07-23,10000,83.7,95.0,1011.0
2015-07-30,10000,79.5,89.6,1011.0
2015-08-06,15000,84.0,91.4,1011.0
2015-08-13,15000,83.7,95.0,1011.0
2015-08-20,12000,83.3,93.2,1011.0
2015-08-27,12000,84.4,93.2,1011.0
2015-09-03,12000,85.3,95.0,1011.0
2015-09-10,15000,82.2,89.6,1010.3
2015-09-17,15000,80.8,87.8,1009.9
2015-09-24,15000,84.7,91.4,1006.9
2015-10-01,15000,85.5,93.2,1010.9
2015-10-08,15000,81.9,93.2,1010.1
2015-10-15,15000,80.4,89.6,1010.6
2015-10-22,15000,82.4,93.2,1010.6
2015-10-29,15000,85.8,95.0,1011.7
2015-11-05,15000,80.2,87.8,1010.0
2015-11-12,15000,83.8,91.4,1010.9
2015-11-20,18000,85.5,95.0,1008.7
2015-11-26,18000,82.9,89.6,1011.8
2015-12-03,18000,84.9,93.2,1010.7
2015-12-10,18000,84.4,91.4,1009.7
2015-12-17,18000,80.8,91.4,1012.8
2015-12-24,18000,82.8,93.2,1015.5
2015-12-31,18000,82.6,91.4,1014.3
2016-01-07,18000,83.5,93.2,1010.5
2016-04-04,24000,85.3,93.2,1010.1
2016-04-06,24000,84.9,93.2,1010.1
2016-04-07,24000,85.5,93.2,1010.2
2016-04-08,24000,86.2,93.2,1009.9
2016-04-11,24000,86.7,95.0,1007.9
2016-04-12,24000,86.7,96.8,1008.3
2016-04-14,24000,88.2,98.6,1008.3
2016-04-15,24000,88.3,98.6,1009.1
2016-05-04,24000,90.0,98.6,1007.3
2016-05-06,24000,88.5,98.6,1007.3
2016-05-13,24000,90.7,98.6,1007.5
2016-05-17,24000,84.7,98.6,1008.5
2016-05-18,24000,83.7,91.4,1008.5
2016-05-19,32000,84.7,93.2,1006.8
2016-05-20,32000,87.4,95.0,1006.8
2016-05-24,32000,83.1,95.0,1007.0
2016-05-25,32000,86.0,93.2,1006.4
2016-06-02,15000,87.4,95.0,1008.5
2016-06-03,15000,84.0,95.0,1009.0
2016-06-13,20000,85.5,93.2,1008.2
2016-08-22,18000,82.6,93.2,1005.1
2016-08-23,18000,83.8,93.2,1007.2
2016-08-24,18000,82.4,87.8,1007.2
2016-08-29,18000,83.5,91.4,1007.5
2016-08-30,18000,81.9,91.4,1010.0
2016-08-31,18000,83.5,93.2,1010.0
2016-09-01,18000,86.2,93.2,1007.8
2016-09-06,18000,84.7,91.4,1007.8
2016-09-12,18000,78.4,84.2,1007.3
2016-09-13,18000,81.1,87.8,1007.3
2016-09-15,18000,82.2,89.6,1007.5
2016-09-20,18000,82.0,91.4,1007.6
2016-09-21,18000,81.7,91.4,1007.6
2016-09-23,20000,82.8,87.8,1006.4
2016-09-27,20000,80.1,91.4,1006.8
2016-09-28,20000,81.1,89.6,1006.2
2016-09-30,20000,80.8,89.6,1006.2
2016-10-03,20000,77.7,84.2,1006.6
