date,price
2014-11-20,18000
2014-11-27,18000
2014-12-04,18000
2014-12-11,18000
2014-12-25,18000
2015-01-01,18000
2015-01-08,18000
2015-01-15,18000
2015-01-22,18000
2015-01-29,18000
2015-02-05,20000
2015-02-12,20000
2015-03-05,20000
2015-03-12,20000
2015-03-19,18000
2015-03-26,18000
2015-04-02,18000
2015-04-09,18000
2015-04-16,20000
2015-04-30,15000
2015-05-07,15000
2015-05-14,10000
2015-05-21,10000
2015-05-28,15000
2015-06-04,15000
2015-06-11,15000
2015-06-18,10000
2015-06-25,10000
2015-07-02,10000
2015-07-09,10000
2015-07-16,10000
2015-07-23,10000
2015-07-30,10000
2015-08-06,15000
2015-08-13,15000
2015-08-20,12000
2015-08-27,12000
2015-09-03,12000
2015-09-10,15000
2015-09-17,15000
2015-09-24,15000
2015-10-01,15000
2015-10-08,15000
2015-10-15,15000
2015-10-22,15000
2015-10-29,15000
2015-11-05,15000
2015-11-12,15000
2015-11-20,18000
2015-11-26,18000
2015-12-03,18000
2015-12-10,18000
2015-12-17,18000
2015-12-24,18000
2015-12-31,18000
2016-01-07,18000
2016-04-04,24000
2016-04-06,24000
2016-04-07,24000
2016-04-08,24000
2016-04-11,24000
2016-04-12,24000
2016-04-14,24000
2016-04-15,24000
2016-05-04,24000
2016-05-06,24000
2016-05-13,24000
2016-05-17,24000
2016-05-18,24000
2016-05-19,32000
2016-05-20,32000
2016-05-24,32000
2016-05-25,32000
2016-06-02,15000
2016-06-03,15000
2016-06-13,20000
2016-08-22,18000
2016-08-23,18000
2016-08-24,18000
2016-08-29,18000
2016-08-30,18000
2016-08-31,18000
2016-09-01,18000
2016-09-06,18000
2016-09-12,18000
2016-09-13,18000
2016-09-15,18000
2016-09-20,18000
2016-09-21,18000
2016-09-23,20000
2016-09-27,20000
2016-09-28,20000
2016-09-30,20000
2016-10-03,20000
2016-10-05,22000
2016-10-07,22000
2016-10-12,24000
2016-10-17,20000
2016-10-20,20000
2016-10-21,18000
2016-10-24,18000
2016-10-25,20000
2016-10-26,20000
2016-10-27,20000
2016-10-28,20000
2016-10-31,20000
2016-11-01,20000
2016-11-02,20000
2016-11-03,20000
2016-11-04,20000
2016-11-07,18000
2016-11-08,18000
2016-11-09,18000
2016-11-10,18000
2016-11-11,18000
2016-11-15,18000
2016-11-16,18000
2016-11-17,18000
2016-11-18,18000
2016-11-22,18000
2016-11-23,18000
2016-11-24,18000
2016-11-25,18000
2016-11-28,15000
2016-11-29,15000
2016-11-30,15000
2016-12-01,15000
2016-12-02,15000
2016-12-05,15000
2016-12-06,15000
2016-12-08,15000
2016-12-27,18000
2016-12-29,18000
2017-01-05,18000
2017-01-10,18000
2017-02-03,32000
2017-02-06,32000
2017-02-07,32000
2017-02-08,32000
2017-02-09,32000
2017-02-10,32000
2017-02-13,32000
2017-02-15,32000
2017-02-20,32000
2017-02-21,25000
2017-02-22,25000
2017-02-23,25000
2017-02-24,25000
2017-02-27,25000
2017-03-01,25000
2017-03-02,25000
2017-03-03,25000
2017-03-07,18000
2017-03-13,25000
2017-03-14,25000
2017-03-15,25000
2017-03-16,25000
2017-03-17,25000
2017-03-23,25000
2017-03-27,25000
2017-03-28,25000
2017-03-29,25000
2017-03-30,25000
2017-04-10,25000
2017-04-13,25000
2017-04-14,25000
2017-04-17,25000
2017-04-18,25000
2017-04-19,25000
2017-04-21,25000
2017-04-24,25000
2017-04-25,25000
2017-05-05,25000
2017-05-10,27000
2017-05-11,27000
2017-05-12,27000
2017-05-17,27000
2017-05-18,27000
2017-05-19,27000
2017-05-25,27000
2017-05-26,27000
2017-05-30,27000
2017-06-02,27000
2017-06-06,27000
2017-06-07,27000
2017-06-12,27000
2017-06-15,27000
2017-06-19,27000
2017-06-20,27000
2017-06-22,27000
2017-06-23,27000
2017-06-26,27000
2017-06-29,27000
2017-06-30,27000
2017-07-03,27000
2017-07-05,27000
2017-07-11,27000
2017-07-14,27000
2017-07-17,27000
2017-07-20,27000
2017-07-28,27000
2017-08-01,27000
2017-08-02,27000
2017-08-03,27000
2017-08-04,27000
2017-08-07,27000
2017-08-08,27000
2017-08-09,27000
2017-08-10,27000
2017-08-11,27000
2017-08-14,27000
2017-08-15,27000
2017-08-17,27000
2017-08-18,27000
2017-08-21,27000
2017-08-22,30000
2017-08-23,30000
2017-08-24,30000
2017-08-25,30000
2017-08-28,30000
2017-08-29,30000
2017-08-31,30000
2017-09-01,30000
2017-09-05,30000
2017-09-06,30000
2017-09-07,30000
2017-09-11,30000
2017-09-13,30000
2017-09-14,30000
2017-09-15,30000
2017-09-18,30000
2017-09-19,30000
2017-09-20,30000
2017-09-22,30000
2017-09-25,30000
2017-09-26,30000
2017-09-27,30000
2017-09-28,30000
2017-09-29,30000
2017-10-02,30000
2017-10-03,30000
2017-10-04,30000
2017-10-05,30000
2017-10-06,30000
2017-10-09,30000
2017-10-10,30000
2017-10-11,30000
2017-10-13,30000
2017-10-16,30000
2017-10-17,30000
2017-10-20,30000
2017-10-23,30000
2017-10-30,30000
2017-10-31,30000
2017-11-01,30000
2017-11-02,30000
2017-11-03,30000
2017-11-06,30000
2017-11-07,30000
2017-11-09,30000
2017-11-10,30000
2017-11-13,30000
2017-11-14,30000
2017-11-15,30000
2017-11-16,30000
2017-11-17,30000
2017-11-20,30000
2017-11-21,30000
2017-11-22,30000
2017-11-23,30000
2017-11-24,30000
2017-11-27,30000
2017-11-28,30000
2017-12-01,30000
2017-12-04,30000
2017-12-06,30000
2017-12-07,30000
2017-12-08,30000
