date,price,tavg,tmin,tmax,prcp,wdir,wspd,pres
2014-11-20,18000,82.6,77.0,89.6,0.268,24.0,3.1,1011.0
2014-11-27,18000,82.8,75.2,91.4,0.268,24.0,3.1,1011.0
2014-12-04,18000,83.5,77.0,89.6,0.268,24.0,6.1,1011.0
2014-12-11,18000,82.0,75.2,87.8,0.268,24.0,7.8,1011.0
2014-12-25,18000,83.8,75.2,91.4,0.268,143.0,3.4,1011.0
2015-01-01,18000,78.6,73.4,87.8,0.268,143.0,4.9,1011.0
2015-01-08,18000,81.9,75.2,91.4,0.268,143.0,3.7,1011.0
2015-01-15,18000,76.8,68.0,87.8,0.268,143.0,3.9,1011.0
2015-01-22,18000,78.1,71.6,87.8,0.268,143.0,5.2,1011.0
2015-01-29,18000,78.8,69.8,91.4,0.268,143.0,6.0,1011.0
2015-02-05,20000,79.2,68.0,89.6,0.268,143.0,4.2,1011.0
2015-02-12,20000,78.1,69.8,89.6,0.268,143.0,6.3,1011.0
2015-03-05,20000,83.1,78.8,91.4,0.268,149.0,8.4,1011.0
2015-03-12,20000,83.8,75.2,93.2,0.268,130.0,8.2,1011.0
2015-03-19,18000,83.7,77.0,95.0,0.268,137.0,7.2,1011.0
2015-03-26,18000,86.9,77.0,96.8,0.268,153.0,8.6,1011.0
2015-04-02,18000,85.5,80.6,95.0,0.268,153.0,6.8,1011.0
2015-04-09,18000,87.1,80.6,96.8,0.268,141.0,8.1,1011.0
2015-04-16,20000,84.9,78.8,93.2,0.268,141.0,8.3,1011.0
2015-04-30,15000,86.7,80.6,95.0,0.268,229.0,5.9,1011.0
2015-05-07,15000,87.3,82.4,93.2,0.268,229.0,7.1,1011.0
2015-05-14,10000,87.6,78.8,95.0,0.268,229.0,6.6,1011.0
2015-05-21,10000,88.3,80.6,98.6,0.268,229.0,7.4,1011.0
2015-05-28,15000,86.4,77.0,93.2,0.268,246.0,6.7,1011.0
2015-06-04,15000,86.7,78.8,95.0,0.268,246.0,4.5,1011.0
2015-06-11,15000,87.1,80.6,95.0,0.268,246.0,4.9,1011.0
2015-06-18,10000,82.2,77.0,89.6,0.268,246.0,7.8,1011.0
2015-06-25,10000,82.4,75.2,87.8,0.268,257.0,8.3,1011.0
2015-07-02,10000,85.1,80.6,91.4,0.268,251.0,11.7,1011.0
2015-07-09,10000,82.6,80.6,91.4,0.268,240.0,12.5,1011.0
2015-07-16,10000,82.8,77.0,91.4,0.268,286.0,6.9,1011.0
2015-07-23,10000,83.7,77.0,95.0,0.268,286.0,4.6,1011.0
2015-07-30,10000,79.5,75.2,89.6,0.268,286.0,4.4,1011.0
2015-08-06,15000,84.0,78.8,91.4,0.268,252.0,9.8,1011.0
2015-08-13,15000,83.7,77.0,95.0,0.268,270.0,6.2,1011.0
2015-08-20,12000,83.3,78.8,93.2,0.268,270.0,11.0,1011.0
2015-08-27,12000,84.4,77.0,93.2,0.268,251.0,5.8,1011.0
2015-09-03,12000,85.3,77.0,95.0,0.268,239.0,6.6,1011.0
2015-09-10,15000,82.2,75.2,89.6,0.268,269.0,7.0,1010.3
2015-09-17,15000,80.8,75.2,87.8,0.268,171.0,7.8,1009.9
2015-09-24,15000,84.7,78.8,91.4,0.268,256.0,8.5,1006.9
2015-10-01,15000,85.5,78.8,93.2,0.268,75.0,6.9,1010.9
2015-10-08,15000,81.9,75.2,93.2,0.268,75.0,5.3,1010.1
2015-10-15,15000,80.4,75.2,89.6,0.268,75.0,3.4,1010.6
2015-10-22,15000,82.4,75.2,93.2,0.268,75.0,3.9,1010.6
2015-10-29,15000,85.8,77.0,95.0,0.268,75.0,5.7,1011.7
2015-11-05,15000,80.2,73.4,87.8,0.268,117.0,3.1,1010.0
2015-11-12,15000,83.8,78.8,91.4,0.268,98.0,8.3,1010.9
2015-11-20,18000,85.5,77.0,95.0,0.268,80.0,6.2,1008.7
2015-11-26,18000,82.9,77.0,89.6,0.268,7.0,3.4,1011.8
2015-12-03,18000,84.9,78.8,93.2,0.268,7.0,5.6,1010.7
2015-12-10,18000,84.4,80.6,91.4,0.268,7.0,5.9,1009.7
2015-12-17,18000,80.8,73.4,91.4,0.268,7.0,6.3,1012.8
2015-12-24,18000,82.8,73.4,93.2,0.268,82.0,6.2,1015.5
2015-12-31,18000,82.6,73.4,91.4,0.268,143.0,4.9,1014.3
2016-01-07,18000,83.5,77.0,93.2,0.268,118.0,5.8,1010.5
2016-04-04,24000,85.3,80.6,93.2,0.268,155.0,7.8,1010.1
2016-04-06,24000,84.9,80.6,93.2,0.268,150.0,8.3,1010.1
2016-04-07,24000,85.5,80.6,93.2,0.268,154.0,8.0,1010.2
2016-04-08,24000,86.2,80.6,93.2,0.268,154.0,8.5,1009.9
2016-04-11,24000,86.7,82.4,95.0,0.268,183.0,7.8,1007.9
2016-04-12,24000,86.7,82.4,96.8,0.268,172.0,8.9,1008.3
2016-04-14,24000,88.2,82.4,98.6,0.268,199.0,8.8,1008.3
2016-04-15,24000,88.3,82.4,98.6,0.268,196.0,8.6,1009.1
2016-05-04,24000,90.0,84.2,98.6,0.268,147.0,8.5,1007.3
2016-05-06,24000,88.5,84.2,98.6,0.268,132.0,6.6,1007.3
2016-05-13,24000,90.7,84.2,98.6,0.268,146.0,5.7,1007.5
2016-05-17,24000,84.7,77.0,98.6,0.268,244.0,5.3,1008.5
2016-05-18,24000,83.7,77.0,91.4,0.268,244.0,4.3,1008.5
2016-05-19,32000,84.7,80.6,93.2,0.268,244.0,4.2,1006.8
2016-05-20,32000,87.4,80.6,95.0,0.268,244.0,5.6,1006.8
2016-05-24,32000,83.1,78.8,95.0,0.268,244.0,12.0,1007.0
2016-05-25,32000,86.0,78.8,93.2,0.268,243.0,10.4,1006.4
2016-06-02,15000,87.4,80.6,95.0,0.268,224.0,7.1,1008.5
2016-06-03,15000,84.0,80.6,95.0,0.268,224.0,6.3,1009.0
2016-06-13,20000,85.5,78.8,93.2,0.268,245.0,5.7,1008.2
2016-08-22,18000,82.6,77.0,93.2,0.268,269.0,8.1,1005.1
2016-08-23,18000,83.8,77.0,93.2,0.268,241.0,5.8,1007.2
2016-08-24,18000,82.4,78.8,87.8,0.268,241.0,4.9,1007.2
2016-08-29,18000,83.5,77.0,91.4,0.268,260.0,6.1,1007.5
2016-08-30,18000,81.9,77.0,91.4,0.268,260.0,3.4,1010.0
2016-08-31,18000,83.5,77.0,93.2,0.268,260.0,4.7,1010.0
2016-09-01,18000,86.2,77.0,93.2,0.268,260.0,4.7,1007.8
2016-09-06,18000,84.7,78.8,91.4,0.268,236.0,8.6,1007.8
2016-09-12,18000,78.4,75.2,84.2,0.268,251.0,8.2,1007.3
2016-09-13,18000,81.1,75.2,87.8,0.268,243.0,9.8,1007.3
2016-09-15,18000,82.2,77.0,89.6,0.268,232.0,6.2,1007.5
2016-09-20,18000,82.0,77.0,91.4,0.268,232.0,4.3,1007.6
2016-09-21,18000,81.7,77.0,91.4,0.268,232.0,4.3,1007.6
2016-09-23,20000,82.8,77.0,87.8,0.268,232.0,3.8,1006.4
2016-09-27,20000,80.1,73.4,91.4,0.268,236.0,3.5,1006.8
2016-09-28,20000,81.1,77.0,89.6,0.268,236.0,3.6,1006.2
2016-09-30,20000,80.8,77.0,89.6,0.268,236.0,4.2,1006.2
2016-10-03,20000,77.7,75.2,84.2,0.268,236.0,2.9,1006.6
2016-10-05,22000,82.8,77.0,91.4,0.268,236.0,4.7,1006.4
2016-10-07,22000,80.6,75.2,89.6,0.268,236.0,4.7,1008.0
2016-10-12,24000,81.1,77.0,87.8,0.268,236.0,3.0,1006.3
2016-10-17,20000,80.8,75.2,89.6,0.268,236.0,4.4,1005.8
2016-10-20,20000,80.8,77.0,86.0,0.268,345.0,7.8,1006.0
2016-10-21,18000,81.1,75.2,89.6,0.268,345.0,6.5,1007.0
2016-10-24,18000,80.4,75.2,87.8,0.268,98.0,3.1,1007.8
2016-10-25,20000,79.0,77.0,86.0,0.268,98.0,3.4,1007.8
2016-10-26,20000,83.5,77.0,89.6,0.268,98.0,9.1,1010.8
2016-10-27,20000,82.0,77.0,93.2,0.268,332.0,6.4,1010.8
2016-10-28,20000,81.5,75.2,91.4,0.268,332.0,4.0,1009.5
2016-10-31,20000,80.4,75.2,89.6,0.268,332.0,4.4,1009.3
2016-11-01,20000,81.1,75.2,89.6,0.268,332.0,4.4,1009.3
2016-11-02,20000,80.1,75.2,89.6,0.268,332.0,3.6,1009.3
2016-11-03,20000,81.0,77.0,86.0,0.268,332.0,5.3,1007.8
2016-11-04,20000,79.2,75.2,84.2,0.268,332.0,5.2,1007.8
2016-11-07,18000,83.5,77.0,91.4,0.268,129.0,4.3,1010.0
2016-11-08,18000,83.5,77.0,89.6,0.268,129.0,5.2,1011.0
2016-11-09,18000,82.6,75.2,91.4,0.268,129.0,5.7,1011.2
2016-11-10,18000,83.8,77.0,93.2,0.268,129.0,4.4,1011.3
2016-11-11,18000,84.4,77.0,93.2,0.268,129.0,4.1,1010.5
2016-11-15,18000,84.6,78.8,93.2,0.268,129.0,3.9,1009.3
2016-11-16,18000,84.0,77.0,95.0,0.268,129.0,5.0,1009.3
2016-11-17,18000,83.1,78.8,91.4,0.268,129.0,3.4,1007.2
2016-11-18,18000,84.6,78.8,91.4,0.268,129.0,6.0,1007.2
2016-11-22,18000,83.1,78.8,89.6,0.268,129.0,6.6,1007.6
2016-11-23,18000,84.9,78.8,91.4,0.268,129.0,7.8,1008.4
2016-11-24,18000,84.0,78.8,93.2,0.268,76.0,5.8,1008.4
2016-11-25,18000,84.4,77.0,93.2,0.268,76.0,4.2,1007.5
2016-11-28,15000,83.8,78.8,91.4,0.268,76.0,4.2,1009.4
2016-11-29,15000,85.6,77.0,93.2,0.268,76.0,5.5,1010.0
2016-11-30,15000,80.2,73.4,87.8,0.268,76.0,3.5,1010.8
2016-12-01,15000,79.5,75.2,86.0,0.268,76.0,3.5,1010.8
2016-12-02,15000,79.5,75.2,86.0,0.268,76.0,3.5,1010.8
2016-12-05,15000,82.6,75.2,89.6,0.268,311.0,5.3,1009.5
2016-12-06,15000,81.7,75.2,89.6,0.268,311.0,3.7,1009.5
2016-12-08,15000,81.1,77.0,87.8,0.268,311.0,3.2,1007.0
2016-12-27,18000,80.4,75.2,91.4,0.268,355.0,4.3,1009.2
2016-12-29,18000,79.5,73.4,86.0,0.268,355.0,7.1,1010.6
2017-01-05,18000,83.3,77.0,89.6,0.268,107.0,4.8,1008.2
2017-01-10,18000,81.9,75.2,87.8,0.268,281.0,4.6,1008.5
2017-02-03,32000,79.3,75.2,84.2,0.268,131.0,2.3,1010.6
2017-02-06,32000,81.3,75.2,89.6,0.268,131.0,5.5,1009.3
2017-02-07,32000,81.0,75.2,91.4,0.268,131.0,5.5,1009.5
2017-02-08,32000,82.0,75.2,89.6,0.268,131.0,4.7,1009.6
2017-02-09,32000,82.6,77.0,93.2,0.268,131.0,5.0,1010.8
2017-02-10,32000,80.2,75.2,91.4,0.268,131.0,5.4,1010.8
2017-02-13,32000,80.2,69.8,91.4,0.268,131.0,4.5,1015.2
2017-02-15,32000,80.1,73.4,89.6,0.268,131.0,6.2,1013.5
2017-02-20,32000,81.9,75.2,86.0,0.268,131.0,4.3,1009.5
2017-02-21,25000,83.5,77.0,91.4,0.268,131.0,7.6,1010.7
2017-02-22,25000,83.8,78.8,93.2,0.268,131.0,8.3,1010.5
2017-02-23,25000,82.8,78.8,91.4,0.268,139.0,8.0,1011.3
2017-02-24,25000,83.1,77.0,91.4,0.268,143.0,6.6,1011.9
2017-02-27,25000,83.1,75.2,93.2,0.268,143.0,4.3,1009.9
2017-03-01,25000,83.8,77.0,91.4,0.268,143.0,4.0,1009.9
2017-03-02,25000,82.4,75.2,93.2,0.268,143.0,5.1,1009.9
2017-03-03,25000,81.1,73.4,89.6,0.268,143.0,5.0,1008.8
2017-03-07,18000,81.7,77.0,91.4,0.268,143.0,7.9,1009.7
2017-03-13,25000,83.8,77.0,93.2,0.268,166.0,5.4,1009.5
2017-03-14,25000,83.3,77.0,91.4,0.268,166.0,7.2,1009.8
2017-03-15,25000,83.8,77.0,93.2,0.268,132.0,7.7,1009.7
2017-03-16,25000,82.9,78.8,91.4,0.268,132.0,9.0,1009.5
2017-03-17,25000,83.1,78.8,91.4,0.268,132.0,9.0,1009.5
2017-03-23,25000,84.2,78.8,93.2,0.268,148.0,8.1,1010.4
2017-03-27,25000,85.5,77.0,95.0,0.268,128.0,6.5,1011.1
2017-03-28,25000,85.6,77.0,95.0,0.268,128.0,7.4,1011.1
2017-03-29,25000,84.0,77.0,95.0,0.268,128.0,7.7,1011.1
2017-03-30,25000,81.7,75.2,93.2,0.268,128.0,3.9,1011.1
2017-04-10,25000,86.0,80.6,95.0,0.268,147.0,8.0,1007.5
2017-04-13,25000,86.0,82.4,95.0,0.268,120.0,7.3,1010.4
2017-04-14,25000,86.7,78.8,96.8,0.268,120.0,9.2,1010.2
2017-04-17,25000,85.8,80.6,93.2,0.268,196.0,7.3,1009.6
2017-04-18,25000,85.8,80.6,93.2,0.268,196.0,5.8,1009.2
2017-04-19,25000,87.6,80.6,96.8,0.268,196.0,6.4,1009.1
2017-04-21,25000,88.2,82.4,96.8,0.268,217.0,8.0,1008.7
2017-04-24,25000,86.2,78.8,93.2,0.268,145.0,5.5,1009.7
2017-04-25,25000,84.7,78.8,95.0,0.268,145.0,4.8,1009.3
2017-05-05,25000,84.2,78.8,93.2,0.268,266.0,4.4,1011.4
2017-05-10,27000,84.0,77.0,91.4,0.268,266.0,6.5,1009.0
2017-05-11,27000,84.7,78.8,91.4,0.268,266.0,5.8,1008.3
2017-05-12,27000,86.7,77.0,95.0,0.268,266.0,5.6,1008.3
2017-05-17,27000,85.1,78.8,91.4,0.268,266.0,5.2,1006.9
2017-05-18,27000,86.4,78.8,95.0,0.268,266.0,5.3,1007.5
2017-05-19,27000,83.5,78.8,93.2,0.268,266.0,5.8,1007.8
2017-05-25,27000,84.4,80.6,93.2,0.268,266.0,5.0,1006.5
2017-05-26,27000,82.0,78.8,89.6,0.268,266.0,4.6,1006.8
2017-05-30,27000,81.1,77.0,91.4,0.268,266.0,3.6,1007.5
2017-06-02,27000,82.9,78.8,89.6,0.268,266.0,7.0,1008.5
2017-06-06,27000,81.1,78.8,89.6,0.268,266.0,7.1,1008.2
2017-06-07,27000,84.6,77.0,89.6,0.268,266.0,6.4,1008.4
2017-06-12,27000,86.5,78.8,93.2,0.268,266.0,6.5,1007.8
2017-06-15,27000,86.0,77.0,93.2,0.268,226.0,5.3,1009.3
2017-06-19,27000,86.4,78.8,93.2,0.268,248.0,7.0,1006.9
2017-06-20,27000,85.5,80.6,93.2,0.268,248.0,9.1,1006.8
2017-06-22,27000,80.8,77.0,87.8,0.268,192.0,5.5,1007.4
2017-06-23,27000,80.4,77.0,87.8,0.268,192.0,5.0,1006.8
2017-06-26,27000,81.9,77.0,89.6,0.268,192.0,5.4,969.9
2017-06-29,27000,84.4,77.0,93.2,0.268,289.0,5.0,1008.0
2017-06-30,27000,82.6,78.8,91.4,0.268,289.0,6.1,1007.7
2017-07-03,27000,84.0,77.0,91.4,0.268,289.0,6.0,1007.7
2017-07-05,27000,81.7,77.0,89.6,0.268,268.0,3.4,1008.8
2017-07-11,27000,84.2,77.0,91.4,0.268,238.0,6.7,1007.5
2017-07-14,27000,83.5,75.2,89.6,0.268,247.0,10.4,1007.5
2017-07-17,27000,78.1,75.2,87.8,0.268,252.0,6.8,1007.3
2017-07-20,27000,78.3,75.2,89.6,0.268,252.0,5.2,1007.3
2017-07-28,27000,83.5,78.8,89.6,0.268,238.0,11.8,1007.5
2017-08-01,27000,83.7,80.6,91.4,0.268,244.0,10.8,1008.0
2017-08-02,27000,82.4,77.0,89.6,0.268,235.0,9.8,1007.4
2017-08-03,27000,82.8,80.6,89.6,0.268,232.0,10.4,1005.8
2017-08-04,27000,81.1,78.8,89.6,0.268,232.0,8.9,1005.6
2017-08-07,27000,86.2,77.0,93.2,0.268,220.0,4.9,1008.7
2017-08-08,27000,84.0,80.6,93.2,0.268,220.0,6.3,1008.9
2017-08-09,27000,82.0,77.0,93.2,0.268,220.0,5.3,1009.1
2017-08-10,27000,82.9,78.8,91.4,0.268,220.0,4.3,1008.0
2017-08-11,27000,82.9,78.8,91.4,0.268,220.0,4.3,1008.0
2017-08-14,27000,82.9,78.8,89.6,0.268,220.0,5.3,1008.9
2017-08-15,27000,82.2,78.8,91.4,0.268,220.0,7.0,1008.1
2017-08-17,27000,80.4,77.0,86.0,0.268,245.0,7.5,1006.1
2017-08-18,27000,79.3,75.2,86.0,0.268,265.0,6.7,1006.9
2017-08-21,27000,84.0,77.0,91.4,0.268,265.0,7.2,1005.8
2017-08-22,30000,82.8,77.0,93.2,0.268,265.0,9.4,1005.6
2017-08-23,30000,80.4,78.8,89.6,0.268,232.0,8.9,1006.3
2017-08-24,30000,83.8,75.2,91.4,0.268,256.0,7.2,1006.7
2017-08-25,30000,82.6,75.2,91.4,0.268,256.0,8.9,968.8
2017-08-28,30000,82.8,78.8,91.4,0.268,220.0,6.9,1007.2
2017-08-29,30000,84.6,77.0,91.4,0.268,209.0,5.3,1007.8
2017-08-31,30000,85.6,77.0,93.2,0.268,209.0,5.2,1008.3
2017-09-01,30000,81.7,77.0,89.6,0.268,209.0,4.9,1007.5
2017-09-05,30000,84.4,77.0,95.0,0.268,209.0,5.9,1008.2
2017-09-06,30000,85.8,78.8,93.2,0.268,209.0,5.8,1008.1
2017-09-07,30000,85.5,80.6,93.2,0.268,209.0,5.2,1008.4
2017-09-11,30000,82.8,77.0,91.4,0.268,209.0,4.3,1009.0
2017-09-13,30000,85.5,80.6,93.2,0.268,209.0,6.2,1007.1
2017-09-14,30000,82.6,71.6,89.6,0.268,209.0,7.0,1005.3
2017-09-15,30000,83.8,80.6,91.4,0.268,209.0,9.6,1005.1
2017-09-18,30000,83.7,73.4,93.2,0.268,233.0,6.5,1007.3
2017-09-19,30000,81.9,73.4,91.4,0.268,233.0,5.2,1007.3
2017-09-20,30000,80.4,77.0,87.8,0.268,233.0,3.8,1007.3
2017-09-22,30000,79.5,77.0,87.8,0.268,233.0,2.7,1007.5
2017-09-25,30000,82.0,77.0,87.8,0.268,240.0,9.6,1007.4
2017-09-26,30000,84.9,78.8,93.2,0.268,298.0,5.7,1008.2
2017-09-27,30000,82.6,78.8,91.4,0.268,298.0,5.0,1008.1
2017-09-28,30000,81.9,73.4,91.4,0.268,298.0,4.0,1007.6
2017-09-29,30000,84.7,77.0,93.2,0.268,298.0,4.7,1008.3
2017-10-02,30000,77.7,73.4,80.6,0.268,298.0,4.6,1007.8
2017-10-03,30000,79.0,77.0,84.2,0.268,298.0,5.8,1008.3
2017-10-04,30000,81.5,75.2,91.4,0.268,298.0,4.4,1009.3
2017-10-05,30000,83.1,77.0,91.4,0.268,298.0,4.2,1008.4
2017-10-06,30000,83.5,75.2,89.6,0.268,298.0,4.4,1008.4
2017-10-09,30000,83.1,77.0,89.6,0.268,298.0,3.4,1005.3
2017-10-10,30000,85.8,78.8,93.2,0.268,298.0,4.8,1004.8
2017-10-11,30000,82.6,78.8,89.6,0.268,298.0,3.3,1006.5
2017-10-13,30000,81.1,77.0,87.8,0.268,298.0,4.8,1005.3
2017-10-16,30000,83.8,77.0,89.6,0.268,298.0,5.2,1006.6
2017-10-17,30000,79.2,75.2,89.6,0.268,298.0,4.7,1007.8
2017-10-20,30000,81.3,77.0,89.6,0.268,19.0,4.9,1009.5
2017-10-23,30000,82.2,78.8,87.8,0.268,19.0,5.1,1010.0
2017-10-30,30000,84.0,77.0,89.6,0.268,19.0,5.2,1008.3
2017-10-31,30000,82.0,77.0,89.6,0.268,19.0,5.2,1008.3
2017-11-01,30000,79.5,77.0,84.2,0.268,359.0,4.7,1008.4
2017-11-02,30000,82.2,77.0,91.4,0.268,359.0,3.5,1006.9
2017-11-03,30000,83.1,73.4,91.4,0.268,359.0,5.0,1006.2
2017-11-06,30000,83.7,77.0,91.4,0.268,359.0,3.0,1007.3
2017-11-07,30000,80.6,73.4,91.4,0.268,359.0,4.7,1007.9
2017-11-09,30000,80.2,75.2,89.6,0.268,359.0,4.2,1007.7
2017-11-10,30000,80.4,77.0,91.4,0.268,359.0,2.5,1008.2
2017-11-13,30000,81.0,77.0,89.6,0.268,359.0,4.2,1007.6
2017-11-14,30000,81.3,75.2,91.4,0.268,359.0,3.4,1008.3
2017-11-15,30000,82.8,77.0,89.6,0.268,359.0,4.5,1008.8
2017-11-16,30000,85.3,78.8,93.2,0.268,359.0,7.6,1009.0
2017-11-17,30000,84.0,73.4,93.2,0.268,359.0,4.9,1007.1
2017-11-20,30000,81.7,75.2,87.8,0.268,359.0,7.9,1008.4
2017-11-21,30000,82.9,75.2,91.4,0.268,359.0,4.5,1008.3
2017-11-22,30000,84.0,77.0,91.4,0.268,359.0,4.7,1007.4
