,price,tavg,tmin,tmax,prcp,wdir,wspd,pres,area,productivity,quantity,export_from_tl,export_from_vn
2/15/2016,9500,29.22222222,25,35,0.268,127,8.3,1013.6,239.3,71.9,1719.9,385,380
2/17/2016,9500,28.22222222,24,34,0.268,144,5.4,1013.8,239.3,71.9,1719.9,385,380
2/18/2016,9500,28.27777778,22,34,0.268,144,6,1012.8,239.3,71.9,1719.9,385,380
2/22/2016,10000,28.22222222,24,35,0.268,144,7,1014.3,239.3,71.9,1719.9,380,385
2/23/2016,10000,28.11111111,24,34,0.268,144,8.6,1013.4,239.3,71.9,1719.9,380,385
2/24/2016,10000,29.11111111,24,35,0.268,42,5.9,1013.4,239.3,71.9,1719.9,380,385
3/2/2016,10000,28.11111111,23,34,0.268,152,5.7,1013.2,239.3,71.9,1719.9,375,375
3/4/2016,10500,28.61111111,24,34,0.268,152,7,1011.1,239.3,71.9,1719.9,380,375
3/8/2016,10500,27.88888889,24,34,0.268,152,7.8,1009.7,239.3,71.9,1719.9,380,375
3/9/2016,10500,28.38888889,25,34,0.268,152,7,1011.7,239.3,71.9,1719.9,380,375
3/11/2016,10500,29.11111111,26,34,0.268,131,10.2,1011.7,239.3,71.9,1719.9,380,375
3/14/2016,10500,28.61111111,26,34,0.268,147,8.2,1011.3,239.3,71.9,1719.9,380,375
3/15/2016,10500,29.11111111,26,34,0.268,147,8.3,1010.9,239.3,71.9,1719.9,380,375
3/23/2016,10500,29.61111111,26,35,0.268,149,6.9,1009.8,239.3,71.9,1719.9,385,380
3/25/2016,10500,29.77777778,26,37,0.268,137,9.3,1013.4,239.3,71.9,1719.9,390,385
3/31/2016,10500,29.27777778,26,34,0.268,138,7.9,1010.3,239.3,71.9,1719.9,390,385
4/4/2016,10500,29.61111111,27,34,0.268,155,7.8,1010.1,239.3,71.9,1719.9,385,380
4/6/2016,10500,29.38888889,27,34,0.268,150,8.3,1010.1,239.3,71.9,1719.9,385,380
4/7/2016,10500,29.72222222,27,34,0.268,154,8,1010.2,239.3,71.9,1719.9,385,380
4/8/2016,10500,30.11111111,27,34,0.268,154,8.5,1009.9,239.3,71.9,1719.9,390,380
4/11/2016,10500,30.38888889,28,35,0.268,183,7.8,1007.9,239.3,71.9,1719.9,390,380
4/12/2016,10500,30.38888889,28,36,0.268,172,8.9,1008.3,239.3,71.9,1719.9,390,380
4/14/2016,10500,31.22222222,28,37,0.268,199,8.8,1008.3,239.3,71.9,1719.9,390,380
4/15/2016,10500,31.27777778,28,37,0.268,196,8.6,1009.1,239.3,71.9,1719.9,390,385
4/26/2016,10500,31.77777778,29,37,0.268,176,8.3,1008.6,239.3,71.9,1719.9,400,390
5/4/2016,10000,32.22222222,29,37,0.268,147,8.5,1007.3,239.3,71.9,1719.9,400,400
5/6/2016,10000,31.38888889,29,37,0.268,132,6.6,1007.3,239.3,71.9,1719.9,410,405
5/13/2016,10000,32.61111111,29,37,0.268,146,5.7,1007.5,239.3,71.9,1719.9,420,415
5/17/2016,10000,29.27777778,25,37,0.268,244,5.3,1008.5,239.3,71.9,1719.9,420,415
5/18/2016,10000,28.72222222,25,33,0.268,244,4.3,1008.5,239.3,71.9,1719.9,420,415
5/19/2016,10000,29.27777778,27,34,0.268,244,4.2,1006.8,239.3,71.9,1719.9,420,415
5/20/2016,10000,30.77777778,27,35,0.268,244,5.6,1006.8,239.3,71.9,1719.9,425,425
5/24/2016,10000,28.38888889,26,35,0.268,244,12,1007,239.3,71.9,1719.9,425,425
5/25/2016,10000,30,26,34,0.268,243,10.4,1006.4,239.3,71.9,1719.9,425,425
6/2/2016,10000,30.77777778,27,35,0.268,224,7.1,1008.5,239.3,71.9,1719.9,430,430
6/3/2016,10000,28.88888889,27,35,0.268,224,6.3,1009,239.3,71.9,1719.9,430,430
6/6/2016,10000,29.88888889,27,36,0.268,248,5.8,1009.1,239.3,71.9,1719.9,430,430
6/13/2016,10000,29.72222222,26,34,0.268,245,5.7,1008.2,239.3,71.9,1719.9,430,430
8/22/2016,10000,28.11111111,25,34,0.268,269,8.1,1005.1,239.3,71.9,1719.9,415,420
8/23/2016,10000,28.77777778,25,34,0.268,241,5.8,1007.2,239.3,71.9,1719.9,415,420
8/24/2016,10000,28,26,31,0.268,241,4.9,1007.2,239.3,71.9,1719.9,415,420
8/29/2016,9500,28.61111111,25,33,0.268,260,6.1,1007.5,239.3,71.9,1719.9,400,400
