date,RON 95-III
22/08/2018,21.17
06/09/2018,21.47
21/09/2018,21.77
06/10/2018,22.34
22/10/2018,22.2
06/11/2018,21.06
21/11/2018,19.97
06/12/2018,18.45
21/12/2018,18.14
01/01/2019,17.6
16/01/2019,17.6
31/01/2019,17.6
15/02/2019,17.6
02/03/2019,18.54
18/03/2019,18.54
02/04/2019,20.03
17/04/2019,21.23
02/05/2019,22.19
17/05/2019,21.59
01/06/2019,21.21
17/06/2019,20.13
02/07/2019,20.51
17/07/2019,21.23
01/08/2019,20.91
16/08/2019,20.4
31/08/2019,20.23
16/09/2019,20.14
01/10/2019,21.06
16/10/2019,20.79
31/10/2019,20.44
15/11/2019,20.79
30/11/2019,21.07
16/12/2019,20.88
31/12/2019,20.99
15/01/2020,20.91
30/01/2020,20.12
14/02/2020,19.38
29/02/2020,19.12
15/03/2020,16.81
29/03/2020,12.56
13/04/2020,11.93
28/04/2020,11.63
13/05/2020,12.23
28/05/2020,13.12
12/06/2020,14.08
27/06/2020,14.97
13/07/2020,14.97
28/07/2020,14.97
12/08/2020,14.92
27/08/2020,15.11
11/09/2020,14.98
26/09/2020,14.98
12/10/2020,15.12
27/10/2020,14.94
11/11/2020,14.7
26/11/2020,15.35
11/12/2020,16
26/12/2020,16.47
11/01/2021,16.93
26/01/2021,17.27
10/02/2021,17.27
25/02/2021,18.08
12/03/2021,18.88
27/03/2021,19.04
12/04/2021,18.97
27/04/2021,19.16
12/05/2021,19.53
27/05/2021,19.53
11/06/2021,20.16
26/06/2021,20.91
12/07/2021,21.78
27/07/2021,21.68
11/08/2021,21.68
26/08/2021,21.13
10/09/2021,21.39
25/09/2021,21.94
11/10/2021,22.87
26/10/2021,24.33
10/11/2021,24.99
25/11/2021,23.9
10/12/2021,22.8
25/12/2021,23.29
11/01/2022,23.87
21/01/2022,24.36
11/02/2022,25.32
21/02/2022,26.28
01/03/2022,26.83
11/03/2022,29.82
01/04/2022,28.15
12/04/2022,27.31
21/04/2022,27.99
04/05/2022,28.43
11/05/2022,29.98
23/05/2022,30.65
01/06/2022,31.57
13/06/2022,32.37
21/06/2022,32.87
01/07/2022,32.76
11/07/2022,29.67
21/07/2022,26.07
01/08/2022,25.6
11/08/2022,24.66
22/08/2022,24.66
05/09/2022,24.23
12/09/2022,23.21
21/09/2022,22.58
03/10/2022,21.44
11/10/2022,22
21/10/2022,22.34
01/11/2022,22.75
11/11/2022,23.86
21/11/2022,23.78
01/12/2022,22.7
12/12/2022,21.2
21/12/2022,20.7
01/01/2023,21.8
03/01/2023,22.15
11/01/2023,22.15
30/01/2023,23.14
13/02/2023,23.76
21/02/2023,23.44
01/03/2023,23.32
13/03/2023,23.81
21/03/2023,23.03
03/04/2023,23.12
11/04/2023,24.24
21/04/2023,23.63
04/05/2023,22.32
11/05/2023,21
22/05/2023,21.49
01/06/2023,22.01
12/06/2023,22.01
21/06/2023,22.01
03/07/2023,21.42
11/07/2023,21.49
21/07/2023,22.79
01/08/2023,23.96
11/08/2023,23.99
21/08/2023,24.6
05/09/2023,24.87
11/09/2023,24.87
21/09/2023,25.74
02/10/2023,24.84
11/10/2023,23.04
23/10/2023,23.51
01/11/2023,23.92
13/11/2023,23.53
23/11/2023,23.02
30/11/2023,22.99
07/12/2023,22.32
14/12/2023,21.4
21/12/2023,22.14
28/12/2023,22.14
04/01/2024,21.91
11/01/2024,21.93
18/01/2024,22.48
25/01/2024,23.4
01/02/2024,24.16
08/02/2024,23.26
15/02/2024,23.91
22/02/2024,23.59
29/02/2024,23.92
07/03/2024,23.55
14/03/2024,23.54
